f 1m 1f 2m 2f jL0200m jL0200f jL0100m jL0100f jV0200m jV0200f 
1.15362 0.528802 -54.0161 1 -0 0.593123 -61.8711 0.528802 125.984 0.593123 118.129 
1.15628 0.528004 -54.0789 1 -0 0.592203 -61.916 0.528004 125.921 0.592203 118.084 
1.15895 0.527206 -54.1416 1 -0 0.591282 -61.9609 0.527206 125.858 0.591282 118.039 
1.16162 0.526408 -54.2043 1 -0 0.590362 -62.0058 0.526408 125.796 0.590362 117.994 
1.1643 0.525609 -54.2669 1 -0 0.589442 -62.0507 0.525609 125.733 0.589442 117.949 
1.16699 0.524811 -54.3295 1 -0 0.588522 -62.0956 0.524811 125.671 0.588522 117.904 
1.16968 0.524013 -54.392 1 -0 0.587602 -62.1405 0.524013 125.608 0.587602 117.86 
1.17238 0.523214 -54.4545 1 -0 0.586682 -62.1853 0.523214 125.546 0.586682 117.815 
1.17509 0.522416 -54.5169 1 -0 0.585762 -62.2302 0.522416 125.483 0.585762 117.77 
1.1778 0.521618 -54.5793 1 -0 0.584843 -62.275 0.521618 125.421 0.584843 117.725 
1.18052 0.520819 -54.6417 1 -0 0.583923 -62.3199 0.520819 125.358 0.583923 117.68 
1.18324 0.520021 -54.704 1 -0 0.583004 -62.3647 0.520021 125.296 0.583004 117.635 
1.18597 0.519222 -54.7662 1 -0 0.582085 -62.4096 0.519222 125.234 0.582085 117.59 
1.18871 0.518424 -54.8284 1 -0 0.581167 -62.4544 0.518424 125.172 0.581167 117.546 
1.19145 0.517626 -54.8906 1 -0 0.580248 -62.4992 0.517626 125.109 0.580248 117.501 
1.1942 0.516827 -54.9527 1 -0 0.57933 -62.544 0.516827 125.047 0.57933 117.456 
1.19696 0.516029 -55.0148 1 -0 0.578412 -62.5888 0.516029 124.985 0.578412 117.411 
1.19972 0.51523 -55.0768 1 -0 0.577494 -62.6335 0.51523 124.923 0.577494 117.366 
1.20249 0.514432 -55.1387 1 -0 0.576576 -62.6783 0.514432 124.861 0.576576 117.322 
1.20526 0.513634 -55.2007 1 -0 0.575658 -62.7231 0.513634 124.799 0.575658 117.277 
1.20804 0.512835 -55.2625 1 -0 0.574741 -62.7678 0.512835 124.737 0.574741 117.232 
1.21083 0.512037 -55.3243 1 -0 0.573824 -62.8125 0.512037 124.676 0.573824 117.187 
1.21362 0.511239 -55.3861 1 -0 0.572907 -62.8572 0.511239 124.614 0.572907 117.143 
1.21642 0.510441 -55.4478 1 -0 0.571991 -62.902 0.510441 124.552 0.571991 117.098 
1.21923 0.509643 -55.5095 1 -0 0.571074 -62.9466 0.509643 124.491 0.571074 117.053 
1.22204 0.508845 -55.5711 1 -0 0.570158 -62.9913 0.508845 124.429 0.570158 117.009 
1.22486 0.508047 -55.6326 1 -0 0.569242 -63.036 0.508047 124.367 0.569242 116.964 
1.22769 0.507249 -55.6942 1 -0 0.568327 -63.0806 0.507249 124.306 0.568327 116.919 
1.23052 0.506452 -55.7556 1 -0 0.567411 -63.1253 0.506452 124.244 0.567411 116.875 
1.23336 0.505654 -55.817 1 -0 0.566496 -63.1699 0.505654 124.183 0.566496 116.83 
1.23621 0.504856 -55.8784 1 -0 0.565581 -63.2145 0.504856 124.122 0.565581 116.785 
1.23906 0.504059 -55.9397 1 -0 0.564667 -63.2591 0.504059 124.06 0.564667 116.741 
1.24192 0.503262 -56.0009 1 -0 0.563753 -63.3037 0.503262 123.999 0.563753 116.696 
1.24479 0.502464 -56.0621 1 -0 0.562839 -63.3483 0.502464 123.938 0.562839 116.652 
1.24766 0.501667 -56.1233 1 -0 0.561925 -63.3928 0.501667 123.877 0.561925 116.607 
1.25054 0.50087 -56.1843 1 -0 0.561012 -63.4373 0.50087 123.816 0.561012 116.563 
1.25342 0.500074 -56.2454 1 -0 0.560099 -63.4818 0.500074 123.755 0.560099 116.518 
1.25632 0.499277 -56.3064 1 -0 0.559186 -63.5263 0.499277 123.694 0.559186 116.474 
1.25922 0.49848 -56.3673 1 -0 0.558274 -63.5708 0.49848 123.633 0.558274 116.429 
1.26212 0.497684 -56.4282 1 -0 0.557361 -63.6153 0.497684 123.572 0.557361 116.385 
1.26503 0.496888 -56.489 1 -0 0.55645 -63.6597 0.496888 123.511 0.55645 116.34 
1.26795 0.496092 -56.5497 1 -0 0.555538 -63.7042 0.496092 123.45 0.555538 116.296 
1.27088 0.495296 -56.6104 1 -0 0.554627 -63.7486 0.495296 123.39 0.554627 116.251 
1.27381 0.4945 -56.6711 1 -0 0.553716 -63.793 0.4945 123.329 0.553716 116.207 
1.27675 0.493704 -56.7317 1 -0 0.552806 -63.8373 0.493704 123.268 0.552806 116.163 
1.2797 0.492909 -56.7922 1 -0 0.551896 -63.8817 0.492909 123.208 0.551896 116.118 
1.28265 0.492114 -56.8527 1 -0 0.550986 -63.926 0.492114 123.147 0.550986 116.074 
1.28561 0.491319 -56.9132 1 -0 0.550077 -63.9703 0.491319 123.087 0.550077 116.03 
1.28858 0.490524 -56.9735 1 -0 0.549168 -64.0146 0.490524 123.026 0.549168 115.985 
1.29155 0.489729 -57.0339 1 -0 0.548259 -64.0589 0.489729 122.966 0.548259 115.941 
1.29453 0.488935 -57.0941 1 -0 0.547351 -64.1031 0.488935 122.906 0.547351 115.897 
1.29752 0.48814 -57.1543 1 -0 0.546443 -64.1474 0.48814 122.846 0.546443 115.853 
1.30051 0.487346 -57.2145 1 -0 0.545536 -64.1916 0.487346 122.786 0.545536 115.808 
1.30351 0.486553 -57.2746 1 -0 0.544629 -64.2357 0.486553 122.725 0.544629 115.764 
1.30652 0.485759 -57.3346 1 -0 0.543722 -64.2799 0.485759 122.665 0.543722 115.72 
1.30954 0.484966 -57.3946 1 -0 0.542816 -64.3241 0.484966 122.605 0.542816 115.676 
1.31256 0.484173 -57.4545 1 -0 0.54191 -64.3682 0.484173 122.546 0.54191 115.632 
1.31559 0.48338 -57.5143 1 -0 0.541004 -64.4123 0.48338 122.486 0.541004 115.588 
1.31862 0.482587 -57.5741 1 -0 0.540099 -64.4563 0.482587 122.426 0.540099 115.544 
1.32166 0.481795 -57.6339 1 -0 0.539195 -64.5004 0.481795 122.366 0.539195 115.5 
1.32471 0.481003 -57.6936 1 -0 0.538291 -64.5444 0.481003 122.306 0.538291 115.456 
1.32777 0.480211 -57.7532 1 -0 0.537387 -64.5884 0.480211 122.247 0.537387 115.412 
1.33083 0.479419 -57.8128 1 -0 0.536484 -64.6324 0.479419 122.187 0.536484 115.368 
1.33391 0.478628 -57.8723 1 -0 0.535581 -64.6763 0.478628 122.128 0.535581 115.324 
1.33698 0.477837 -57.9317 1 -0 0.534678 -64.7203 0.477837 122.068 0.534678 115.28 
1.34007 0.477046 -57.9911 1 -0 0.533776 -64.7642 0.477046 122.009 0.533776 115.236 
1.34316 0.476255 -58.0504 1 -0 0.532875 -64.8081 0.476255 121.95 0.532875 115.192 
1.34626 0.475465 -58.1097 1 -0 0.531974 -64.8519 0.475465 121.89 0.531974 115.148 
1.34937 0.474675 -58.1689 1 -0 0.531073 -64.8957 0.474675 121.831 0.531073 115.104 
1.35248 0.473886 -58.228 1 -0 0.530173 -64.9395 0.473886 121.772 0.530173 115.06 
1.3556 0.473097 -58.2871 1 -0 0.529273 -64.9833 0.473097 121.713 0.529273 115.017 
1.35873 0.472308 -58.3461 1 -0 0.528374 -65.0271 0.472308 121.654 0.528374 114.973 
1.36187 0.471519 -58.4051 1 -0 0.527475 -65.0708 0.471519 121.595 0.527475 114.929 
1.36501 0.470731 -58.464 1 -0 0.526577 -65.1145 0.470731 121.536 0.526577 114.886 
1.36816 0.469943 -58.5229 1 -0 0.52568 -65.1581 0.469943 121.477 0.52568 114.842 
