f 1m 1f 2m 2f jL0200m jL0200f jL0100m jL0100f jV0200m jV0200f 
4.07953 0.181022 -78.3966 1 -0 0.201288 -80.6308 0.181022 101.603 0.201288 99.3692 
4.08895 0.180622 -78.4226 1 -0 0.200843 -80.6516 0.180622 101.577 0.200843 99.3484 
4.09838 0.180223 -78.4486 1 -0 0.200398 -80.6725 0.180223 101.551 0.200398 99.3275 
4.10784 0.179824 -78.4744 1 -0 0.199955 -80.6932 0.179824 101.526 0.199955 99.3068 
4.11732 0.179427 -78.5003 1 -0 0.199512 -80.7139 0.179427 101.5 0.199512 99.2861 
4.12682 0.17903 -78.526 1 -0 0.19907 -80.7346 0.17903 101.474 0.19907 99.2654 
4.13634 0.178634 -78.5518 1 -0 0.198629 -80.7553 0.178634 101.448 0.198629 99.2447 
4.14589 0.178239 -78.5774 1 -0 0.198189 -80.7759 0.178239 101.423 0.198189 99.2241 
4.15546 0.177845 -78.603 1 -0 0.19775 -80.7964 0.177845 101.397 0.19775 99.2036 
4.16504 0.177451 -78.6286 1 -0 0.197312 -80.8169 0.177451 101.371 0.197312 99.1831 
4.17466 0.177059 -78.6541 1 -0 0.196875 -80.8374 0.177059 101.346 0.196875 99.1626 
4.18429 0.176667 -78.6795 1 -0 0.196438 -80.8578 0.176667 101.32 0.196438 99.1422 
4.19394 0.176276 -78.7049 1 -0 0.196003 -80.8782 0.176276 101.295 0.196003 99.1218 
4.20362 0.175885 -78.7303 1 -0 0.195568 -80.8985 0.175885 101.27 0.195568 99.1015 
4.21332 0.175496 -78.7555 1 -0 0.195134 -80.9188 0.175496 101.244 0.195134 99.0812 
4.22304 0.175107 -78.7808 1 -0 0.194702 -80.9391 0.175107 101.219 0.194702 99.0609 
4.23279 0.174719 -78.806 1 -0 0.19427 -80.9593 0.174719 101.194 0.19427 99.0407 
4.24256 0.174332 -78.8311 1 -0 0.193838 -80.9795 0.174332 101.169 0.193838 99.0205 
4.25235 0.173946 -78.8561 1 -0 0.193408 -80.9996 0.173946 101.144 0.193408 99.0004 
4.26216 0.17356 -78.8812 1 -0 0.192979 -81.0197 0.17356 101.119 0.192979 98.9803 
4.27199 0.173175 -78.9061 1 -0 0.192551 -81.0397 0.173175 101.094 0.192551 98.9603 
4.28185 0.172791 -78.931 1 -0 0.192123 -81.0597 0.172791 101.069 0.192123 98.9403 
4.29173 0.172408 -78.9559 1 -0 0.191696 -81.0797 0.172408 101.044 0.191696 98.9203 
4.30164 0.172026 -78.9807 1 -0 0.191271 -81.0996 0.172026 101.019 0.191271 98.9004 
4.31156 0.171644 -79.0054 1 -0 0.190846 -81.1195 0.171644 100.995 0.190846 98.8805 
4.32151 0.171263 -79.0301 1 -0 0.190422 -81.1393 0.171263 100.97 0.190422 98.8607 
4.33148 0.170883 -79.0548 1 -0 0.189998 -81.1591 0.170883 100.945 0.189998 98.8409 
4.34148 0.170504 -79.0794 1 -0 0.189576 -81.1789 0.170504 100.921 0.189576 98.8211 
4.3515 0.170125 -79.1039 1 -0 0.189155 -81.1986 0.170125 100.896 0.189155 98.8014 
4.36154 0.169748 -79.1284 1 -0 0.188734 -81.2182 0.169748 100.872 0.188734 98.7818 
4.3716 0.169371 -79.1528 1 -0 0.188314 -81.2379 0.169371 100.847 0.188314 98.7621 
4.38169 0.168995 -79.1772 1 -0 0.187896 -81.2574 0.168995 100.823 0.187896 98.7426 
4.3918 0.168619 -79.2016 1 -0 0.187478 -81.277 0.168619 100.798 0.187478 98.723 
4.40194 0.168245 -79.2258 1 -0 0.187061 -81.2965 0.168245 100.774 0.187061 98.7035 
4.41209 0.167871 -79.2501 1 -0 0.186644 -81.316 0.167871 100.75 0.186644 98.684 
4.42227 0.167498 -79.2742 1 -0 0.186229 -81.3354 0.167498 100.726 0.186229 98.6646 
4.43248 0.167125 -79.2984 1 -0 0.185815 -81.3548 0.167125 100.702 0.185815 98.6452 
4.44271 0.166754 -79.3224 1 -0 0.185401 -81.3741 0.166754 100.678 0.185401 98.6259 
4.45296 0.166383 -79.3464 1 -0 0.184988 -81.3934 0.166383 100.654 0.184988 98.6066 
4.46323 0.166013 -79.3704 1 -0 0.184576 -81.4127 0.166013 100.63 0.184576 98.5873 
4.47353 0.165644 -79.3943 1 -0 0.184165 -81.4319 0.165644 100.606 0.184165 98.5681 
4.48386 0.165275 -79.4182 1 -0 0.183755 -81.4511 0.165275 100.582 0.183755 98.5489 
4.4942 0.164908 -79.442 1 -0 0.183346 -81.4702 0.164908 100.558 0.183346 98.5298 
4.50457 0.164541 -79.4658 1 -0 0.182937 -81.4893 0.164541 100.534 0.182937 98.5107 
4.51497 0.164175 -79.4895 1 -0 0.182529 -81.5083 0.164175 100.511 0.182529 98.4917 
4.52539 0.163809 -79.5131 1 -0 0.182123 -81.5274 0.163809 100.487 0.182123 98.4726 
4.53583 0.163444 -79.5367 1 -0 0.181717 -81.5463 0.163444 100.463 0.181717 98.4537 
4.5463 0.16308 -79.5603 1 -0 0.181312 -81.5653 0.16308 100.44 0.181312 98.4347 
4.55679 0.162717 -79.5838 1 -0 0.180907 -81.5842 0.162717 100.416 0.180907 98.4158 
4.5673 0.162355 -79.6073 1 -0 0.180504 -81.603 0.162355 100.393 0.180504 98.397 
4.57784 0.161993 -79.6307 1 -0 0.180101 -81.6218 0.161993 100.369 0.180101 98.3782 
4.5884 0.161632 -79.654 1 -0 0.179699 -81.6406 0.161632 100.346 0.179699 98.3594 
4.59899 0.161272 -79.6773 1 -0 0.179299 -81.6594 0.161272 100.323 0.179299 98.3406 
4.6096 0.160913 -79.7006 1 -0 0.178899 -81.6781 0.160913 100.299 0.178899 98.3219 
4.62024 0.160554 -79.7238 1 -0 0.178499 -81.6967 0.160554 100.276 0.178499 98.3033 
4.6309 0.160196 -79.747 1 -0 0.178101 -81.7153 0.160196 100.253 0.178101 98.2847 
4.64159 0.159839 -79.7701 1 -0 0.177703 -81.7339 0.159839 100.23 0.177703 98.2661 
4.6523 0.159483 -79.7931 1 -0 0.177307 -81.7524 0.159483 100.207 0.177307 98.2476 
4.66303 0.159127 -79.8161 1 -0 0.176911 -81.7709 0.159127 100.184 0.176911 98.2291 
4.6738 0.158772 -79.8391 1 -0 0.176516 -81.7894 0.158772 100.161 0.176516 98.2106 
4.68458 0.158418 -79.862 1 -0 0.176121 -81.8078 0.158418 100.138 0.176121 98.1922 
4.69539 0.158064 -79.8848 1 -0 0.175728 -81.8262 0.158064 100.115 0.175728 98.1738 
4.70622 0.157712 -79.9077 1 -0 0.175335 -81.8445 0.157712 100.092 0.175335 98.1555 
4.71708 0.15736 -79.9304 1 -0 0.174944 -81.8628 0.15736 100.07 0.174944 98.1372 
4.72797 0.157008 -79.9531 1 -0 0.174553 -81.8811 0.157008 100.047 0.174553 98.1189 
4.73888 0.156658 -79.9758 1 -0 0.174163 -81.8993 0.156658 100.024 0.174163 98.1007 
4.74981 0.156308 -79.9984 1 -0 0.173773 -81.9175 0.156308 100.002 0.173773 98.0825 
4.76078 0.155959 -80.021 1 -0 0.173385 -81.9357 0.155959 99.979 0.173385 98.0643 
4.77176 0.155611 -80.0435 1 -0 0.172997 -81.9538 0.155611 99.9565 0.172997 98.0462 
4.78277 0.155263 -80.0659 1 -0 0.17261 -81.9718 0.155263 99.9341 0.17261 98.0282 
4.79381 0.154916 -80.0884 1 -0 0.172224 -81.9899 0.154916 99.9116 0.172224 98.0101 
4.80487 0.15457 -80.1107 1 -0 0.171839 -82.0079 0.15457 99.8893 0.171839 97.9921 
4.81596 0.154225 -80.133 1 -0 0.171455 -82.0258 0.154225 99.867 0.171455 97.9742 
4.82707 0.15388 -80.1553 1 -0 0.171071 -82.0437 0.15388 99.8447 0.171071 97.9563 
4.83821 0.153536 -80.1775 1 -0 0.170688 -82.0616 0.153536 99.8225 0.170688 97.9384 
4.84937 0.153193 -80.1997 1 -0 0.170306 -82.0795 0.153193 99.8003 0.170306 97.9205 
4.86056 0.152851 -80.2218 1 -0 0.169925 -82.0973 0.152851 99.7782 0.169925 97.9027 
4.87178 0.152509 -80.2439 1 -0 0.169545 -82.115 0.152509 99.7561 0.169545 97.885 
4.88302 0.152168 -80.2659 1 -0 0.169165 -82.1328 0.152168 99.7341 0.169165 97.8672 
4.89429 0.151827 -80.2879 1 -0 0.168786 -82.1504 0.151827 99.7121 0.168786 97.8496 
4.90558 0.151488 -80.3099 1 -0 0.168408 -82.1681 0.151488 99.6901 0.168408 97.8319 
4.9169 0.151149 -80.3318 1 -0 0.168031 -82.1857 0.151149 99.6682 0.168031 97.8143 
4.92825 0.150811 -80.3536 1 -0 0.167655 -82.2033 0.150811 99.6464 0.167655 97.7967 
4.93962 0.150473 -80.3754 1 -0 0.167279 -82.2208 0.150473 99.6246 0.167279 97.7792 
4.95102 0.150136 -80.3971 1 -0 0.166904 -82.2383 0.150136 99.6029 0.166904 97.7617 
4.96244 0.1498 -80.4188 1 -0 0.16653 -82.2558 0.1498 99.5812 0.16653 97.7442 
4.9739 0.149465 -80.4405 1 -0 0.166157 -82.2732 0.149465 99.5595 0.166157 97.7268 
4.98537 0.14913 -80.4621 1 -0 0.165785 -82.2906 0.14913 99.5379 0.165785 97.7094 
4.99688 0.148796 -80.4836 1 -0 0.165413 -82.3079 0.148796 99.5164 0.165413 97.6921 
5.00841 0.148463 -80.5051 1 -0 0.165042 -82.3253 0.148463 99.4949 0.165042 97.6747 
5.01997 0.148131 -80.5266 1 -0 0.164672 -82.3425 0.148131 99.4734 0.164672 97.6575 
5.03155 0.147799 -80.548 1 -0 0.164303 -82.3598 0.147799 99.452 0.164303 97.6402 
5.04316 0.147468 -80.5694 1 -0 0.163935 -82.377 0.147468 99.4306 0.163935 97.623 
5.0548 0.147137 -80.5907 1 -0 0.163567 -82.3941 0.147137 99.4093 0.163567 97.6059 
5.06646 0.146807 -80.612 1 -0 0.1632 -82.4113 0.146807 99.388 0.1632 97.5887 
5.07815 0.146478 -80.6332 1 -0 0.162834 -82.4283 0.146478 99.3668 0.162834 97.5717 
5.08987 0.14615 -80.6544 1 -0 0.162468 -82.4454 0.14615 99.3456 0.162468 97.5546 
5.10162 0.145823 -80.6755 1 -0 0.162104 -82.4624 0.145823 99.3245 0.162104 97.5376 
5.11339 0.145496 -80.6966 1 -0 0.16174 -82.4794 0.145496 99.3034 0.16174 97.5206 
5.12519 0.145169 -80.7177 1 -0 0.161377 -82.4963 0.145169 99.2823 0.161377 97.5037 
5.13701 0.144844 -80.7387 1 -0 0.161015 -82.5133 0.144844 99.2613 0.161015 97.4867 
5.14887 0.144519 -80.7596 1 -0 0.160653 -82.5301 0.144519 99.2404 0.160653 97.4699 
5.16075 0.144195 -80.7805 1 -0 0.160293 -82.547 0.144195 99.2195 0.160293 97.453 
5.17266 0.143871 -80.8014 1 -0 0.159933 -82.5638 0.143871 99.1986 0.159933 97.4362 
5.18459 0.143549 -80.8222 1 -0 0.159573 -82.5805 0.143549 99.1778 0.159573 97.4195 
5.19656 0.143226 -80.843 1 -0 0.159215 -82.5972 0.143226 99.157 0.159215 97.4028 
5.20855 0.142905 -80.8637 1 -0 0.158857 -82.6139 0.142905 99.1363 0.158857 97.3861 
5.22057 0.142584 -80.8844 1 -0 0.158501 -82.6306 0.142584 99.1156 0.158501 97.3694 
5.23261 0.142264 -80.905 1 -0 0.158144 -82.6472 0.142264 99.095 0.158144 97.3528 
5.24469 0.141945 -80.9256 1 -0 0.157789 -82.6638 0.141945 99.0744 0.157789 97.3362 
5.25679 0.141626 -80.9462 1 -0 0.157434 -82.6803 0.141626 99.0538 0.157434 97.3197 
5.26892 0.141308 -80.9667 1 -0 0.157081 -82.6968 0.141308 99.0333 0.157081 97.3032 
5.28108 0.140991 -80.9871 1 -0 0.156728 -82.7133 0.140991 99.0129 0.156728 97.2867 
5.29327 0.140674 -81.0075 1 -0 0.156375 -82.7298 0.140674 98.9925 0.156375 97.2702 
5.30548 0.140358 -81.0279 1 -0 0.156024 -82.7462 0.140358 98.9721 0.156024 97.2538 
5.31772 0.140043 -81.0482 1 -0 0.155673 -82.7625 0.140043 98.9518 0.155673 97.2375 
5.32999 0.139728 -81.0685 1 -0 0.155323 -82.7789 0.139728 98.9315 0.155323 97.2211 
5.34229 0.139414 -81.0887 1 -0 0.154973 -82.7952 0.139414 98.9113 0.154973 97.2048 
5.35462 0.139101 -81.1089 1 -0 0.154625 -82.8114 0.139101 98.8911 0.154625 97.1886 
5.36698 0.138788 -81.1291 1 -0 0.154277 -82.8276 0.138788 98.8709 0.154277 97.1724 
5.37936 0.138476 -81.1492 1 -0 0.15393 -82.8438 0.138476 98.8508 0.15393 97.1562 
5.39177 0.138165 -81.1692 1 -0 0.153584 -82.86 0.138165 98.8308 0.153584 97.14 
5.40422 0.137855 -81.1892 1 -0 0.153238 -82.8761 0.137855 98.8108 0.153238 97.1239 
5.41669 0.137545 -81.2092 1 -0 0.152893 -82.8922 0.137545 98.7908 0.152893 97.1078 
5.42919 0.137235 -81.2291 1 -0 0.152549 -82.9082 0.137235 98.7709 0.152549 97.0918 
5.44171 0.136927 -81.249 1 -0 0.152206 -82.9243 0.136927 98.751 0.152206 97.0757 
5.45427 0.136619 -81.2688 1 -0 0.151863 -82.9402 0.136619 98.7312 0.151863 97.0598 
5.46686 0.136311 -81.2886 1 -0 0.151521 -82.9562 0.136311 98.7114 0.151521 97.0438 
5.47947 0.136005 -81.3084 1 -0 0.15118 -82.9721 0.136005 98.6916 0.15118 97.0279 
5.49212 0.135699 -81.3281 1 -0 0.15084 -82.988 0.135699 98.6719 0.15084 97.012 
5.50479 0.135393 -81.3477 1 -0 0.1505 -83.0038 0.135393 98.6523 0.1505 96.9962 
5.51749 0.135089 -81.3674 1 -0 0.150161 -83.0196 0.135089 98.6326 0.150161 96.9804 
5.53022 0.134785 -81.3869 1 -0 0.149823 -83.0354 0.134785 98.6131 0.149823 96.9646 
5.54299 0.134481 -81.4065 1 -0 0.149485 -83.0511 0.134481 98.5935 0.149485 96.9489 
5.55578 0.134179 -81.426 1 -0 0.149149 -83.0668 0.134179 98.574 0.149149 96.9332 
5.5686 0.133877 -81.4454 1 -0 0.148812 -83.0825 0.133877 98.5546 0.148812 96.9175 
5.58145 0.133575 -81.4648 1 -0 0.148477 -83.0982 0.133575 98.5352 0.148477 96.9018 
5.59433 0.133274 -81.4842 1 -0 0.148143 -83.1138 0.133274 98.5158 0.148143 96.8862 
5.60723 0.132974 -81.5035 1 -0 0.147809 -83.1293 0.132974 98.4965 0.147809 96.8707 
5.62017 0.132675 -81.5228 1 -0 0.147475 -83.1449 0.132675 98.4772 0.147475 96.8551 
5.63314 0.132376 -81.542 1 -0 0.147143 -83.1604 0.132376 98.458 0.147143 96.8396 
5.64614 0.132078 -81.5612 1 -0 0.146811 -83.1758 0.132078 98.4388 0.146811 96.8242 
5.65917 0.13178 -81.5803 1 -0 0.14648 -83.1913 0.13178 98.4197 0.14648 96.8087 
5.67223 0.131483 -81.5994 1 -0 0.14615 -83.2067 0.131483 98.4006 0.14615 96.7933 
5.68532 0.131187 -81.6185 1 -0 0.14582 -83.222 0.131187 98.3815 0.14582 96.778 
5.69844 0.130891 -81.6375 1 -0 0.145492 -83.2374 0.130891 98.3625 0.145492 96.7626 
5.71159 0.130596 -81.6565 1 -0 0.145163 -83.2527 0.130596 98.3435 0.145163 96.7473 
5.72477 0.130302 -81.6755 1 -0 0.144836 -83.2679 0.130302 98.3245 0.144836 96.7321 
5.73798 0.130008 -81.6944 1 -0 0.144509 -83.2832 0.130008 98.3056 0.144509 96.7168 
5.75122 0.129715 -81.7132 1 -0 0.144183 -83.2984 0.129715 98.2868 0.144183 96.7016 
5.76449 0.129423 -81.732 1 -0 0.143858 -83.3135 0.129423 98.268 0.143858 96.6865 
5.77779 0.129131 -81.7508 1 -0 0.143533 -83.3287 0.129131 98.2492 0.143533 96.6713 
5.79112 0.12884 -81.7695 1 -0 0.143209 -83.3438 0.12884 98.2305 0.143209 96.6562 
5.80449 0.128549 -81.7882 1 -0 0.142886 -83.3588 0.128549 98.2118 0.142886 96.6412 
5.81788 0.128259 -81.8069 1 -0 0.142564 -83.3739 0.128259 98.1931 0.142564 96.6261 
5.83131 0.12797 -81.8255 1 -0 0.142242 -83.3889 0.12797 98.1745 0.142242 96.6111 
5.84476 0.127681 -81.844 1 -0 0.141921 -83.4038 0.127681 98.156 0.141921 96.5962 
5.85825 0.127393 -81.8626 1 -0 0.1416 -83.4188 0.127393 98.1374 0.1416 96.5812 
5.87177 0.127106 -81.881 1 -0 0.141281 -83.4337 0.127106 98.119 0.141281 96.5663 
5.88532 0.126819 -81.8995 1 -0 0.140962 -83.4485 0.126819 98.1005 0.140962 96.5515 
5.8989 0.126533 -81.9179 1 -0 0.140643 -83.4634 0.126533 98.0821 0.140643 96.5366 
5.91251 0.126247 -81.9363 1 -0 0.140326 -83.4782 0.126247 98.0637 0.140326 96.5218 
5.92615 0.125962 -81.9546 1 -0 0.140009 -83.493 0.125962 98.0454 0.140009 96.507 
5.93983 0.125678 -81.9729 1 -0 0.139692 -83.5077 0.125678 98.0271 0.139692 96.4923 
5.95353 0.125394 -81.9911 1 -0 0.139377 -83.5224 0.125394 98.0089 0.139377 96.4776 
5.96727 0.125111 -82.0093 1 -0 0.139062 -83.5371 0.125111 97.9907 0.139062 96.4629 
5.98104 0.124829 -82.0275 1 -0 0.138748 -83.5517 0.124829 97.9725 0.138748 96.4483 
5.99484 0.124547 -82.0456 1 -0 0.138434 -83.5663 0.124547 97.9544 0.138434 96.4337 
6.00868 0.124266 -82.0637 1 -0 0.138121 -83.5809 0.124266 97.9363 0.138121 96.4191 
6.02254 0.123985 -82.0817 1 -0 0.137809 -83.5955 0.123985 97.9183 0.137809 96.4045 
6.03644 0.123705 -82.0997 1 -0 0.137498 -83.61 0.123705 97.9003 0.137498 96.39 
6.05037 0.123425 -82.1177 1 -0 0.137187 -83.6245 0.123425 97.8823 0.137187 96.3755 
6.06433 0.123147 -82.1356 1 -0 0.136877 -83.6389 0.123147 97.8644 0.136877 96.3611 
6.07832 0.122868 -82.1535 1 -0 0.136567 -83.6533 0.122868 97.8465 0.136567 96.3467 
6.09235 0.122591 -82.1713 1 -0 0.136258 -83.6677 0.122591 97.8287 0.136258 96.3323 
6.10641 0.122314 -82.1891 1 -0 0.13595 -83.6821 0.122314 97.8109 0.13595 96.3179 
6.1205 0.122037 -82.2069 1 -0 0.135643 -83.6964 0.122037 97.7931 0.135643 96.3036 
6.13462 0.121761 -82.2246 1 -0 0.135336 -83.7107 0.121761 97.7754 0.135336 96.2893 
6.14878 0.121486 -82.2423 1 -0 0.13503 -83.725 0.121486 97.7577 0.13503 96.275 
6.16297 0.121212 -82.2599 1 -0 0.134725 -83.7392 0.121212 97.7401 0.134725 96.2608 
6.17719 0.120938 -82.2775 1 -0 0.13442 -83.7534 0.120938 97.7225 0.13442 96.2466 
6.19144 0.120664 -82.2951 1 -0 0.134116 -83.7676 0.120664 97.7049 0.134116 96.2324 
6.20573 0.120391 -82.3126 1 -0 0.133812 -83.7817 0.120391 97.6874 0.133812 96.2183 
6.22005 0.120119 -82.3301 1 -0 0.133509 -83.7958 0.120119 97.6699 0.133509 96.2042 
6.2344 0.119848 -82.3475 1 -0 0.133207 -83.8099 0.119848 97.6525 0.133207 96.1901 
6.24879 0.119576 -82.3649 1 -0 0.132906 -83.8239 0.119576 97.6351 0.132906 96.1761 
6.26321 0.119306 -82.3823 1 -0 0.132605 -83.838 0.119306 97.6177 0.132605 96.162 
6.27766 0.119036 -82.3997 1 -0 0.132305 -83.8519 0.119036 97.6003 0.132305 96.1481 
6.29215 0.118767 -82.4169 1 -0 0.132005 -83.8659 0.118767 97.5831 0.132005 96.1341 
6.30667 0.118498 -82.4342 1 -0 0.131707 -83.8798 0.118498 97.5658 0.131707 96.1202 
6.32122 0.11823 -82.4514 1 -0 0.131408 -83.8937 0.11823 97.5486 0.131408 96.1063 
6.3358 0.117963 -82.4686 1 -0 0.131111 -83.9076 0.117963 97.5314 0.131111 96.0924 
6.35043 0.117696 -82.4857 1 -0 0.130814 -83.9214 0.117696 97.5143 0.130814 96.0786 
6.36508 0.117429 -82.5028 1 -0 0.130518 -83.9352 0.117429 97.4972 0.130518 96.0648 
6.37977 0.117164 -82.5199 1 -0 0.130222 -83.949 0.117164 97.4801 0.130222 96.051 
6.39449 0.116898 -82.5369 1 -0 0.129927 -83.9627 0.116898 97.4631 0.129927 96.0373 
6.40924 0.116634 -82.5539 1 -0 0.129633 -83.9764 0.116634 97.4461 0.129633 96.0236 
6.42403 0.11637 -82.5709 1 -0 0.129339 -83.9901 0.11637 97.4291 0.129339 96.0099 
6.43886 0.116106 -82.5878 1 -0 0.129046 -84.0037 0.116106 97.4122 0.129046 95.9963 
6.45372 0.115843 -82.6047 1 -0 0.128754 -84.0173 0.115843 97.3953 0.128754 95.9827 
6.46861 0.115581 -82.6215 1 -0 0.128462 -84.0309 0.115581 97.3785 0.128462 95.9691 
6.48353 0.115319 -82.6383 1 -0 0.128171 -84.0445 0.115319 97.3617 0.128171 95.9555 
6.4985 0.115058 -82.6551 1 -0 0.127881 -84.058 0.115058 97.3449 0.127881 95.942 
6.51349 0.114798 -82.6718 1 -0 0.127591 -84.0715 0.114798 97.3282 0.127591 95.9285 
6.52852 0.114538 -82.6885 1 -0 0.127302 -84.085 0.114538 97.3115 0.127302 95.915 
6.54359 0.114278 -82.7051 1 -0 0.127013 -84.0984 0.114278 97.2949 0.127013 95.9016 
6.55869 0.114019 -82.7217 1 -0 0.126726 -84.1118 0.114019 97.2783 0.126726 95.8882 
6.57382 0.113761 -82.7383 1 -0 0.126438 -84.1252 0.113761 97.2617 0.126438 95.8748 
6.58899 0.113503 -82.7549 1 -0 0.126152 -84.1386 0.113503 97.2451 0.126152 95.8614 
6.60419 0.113246 -82.7714 1 -0 0.125866 -84.1519 0.113246 97.2286 0.125866 95.8481 
6.61943 0.11299 -82.7878 1 -0 0.12558 -84.1652 0.11299 97.2122 0.12558 95.8348 
6.63471 0.112734 -82.8043 1 -0 0.125296 -84.1784 0.112734 97.1957 0.125296 95.8216 
6.65002 0.112478 -82.8207 1 -0 0.125011 -84.1917 0.112478 97.1793 0.125011 95.8083 
6.66536 0.112223 -82.837 1 -0 0.124728 -84.2049 0.112223 97.163 0.124728 95.7951 
6.68074 0.111969 -82.8533 1 -0 0.124445 -84.218 0.111969 97.1467 0.124445 95.782 
6.69616 0.111715 -82.8696 1 -0 0.124163 -84.2312 0.111715 97.1304 0.124163 95.7688 
6.71161 0.111462 -82.8859 1 -0 0.123881 -84.2443 0.111462 97.1141 0.123881 95.7557 
6.7271 0.111209 -82.9021 1 -0 0.1236 -84.2574 0.111209 97.0979 0.1236 95.7426 
6.74262 0.110957 -82.9182 1 -0 0.12332 -84.2704 0.110957 97.0818 0.12332 95.7296 
6.75818 0.110705 -82.9344 1 -0 0.12304 -84.2834 0.110705 97.0656 0.12304 95.7166 
6.77378 0.110454 -82.9505 1 -0 0.122761 -84.2964 0.110454 97.0495 0.122761 95.7036 
6.78941 0.110204 -82.9666 1 -0 0.122482 -84.3094 0.110204 97.0334 0.122482 95.6906 
6.80507 0.109954 -82.9826 1 -0 0.122204 -84.3224 0.109954 97.0174 0.122204 95.6776 
6.82078 0.109705 -82.9986 1 -0 0.121927 -84.3353 0.109705 97.0014 0.121927 95.6647 
6.83652 0.109456 -83.0145 1 -0 0.12165 -84.3482 0.109456 96.9855 0.12165 95.6518 
6.85229 0.109207 -83.0305 1 -0 0.121374 -84.361 0.109207 96.9695 0.121374 95.639 
6.8681 0.10896 -83.0464 1 -0 0.121099 -84.3738 0.10896 96.9536 0.121099 95.6262 
6.88395 0.108713 -83.0622 1 -0 0.120824 -84.3866 0.108713 96.9378 0.120824 95.6134 
6.89984 0.108466 -83.078 1 -0 0.12055 -84.3994 0.108466 96.922 0.12055 95.6006 
6.91576 0.10822 -83.0938 1 -0 0.120276 -84.4121 0.10822 96.9062 0.120276 95.5879 
6.93172 0.107974 -83.1096 1 -0 0.120003 -84.4249 0.107974 96.8904 0.120003 95.5751 
6.94771 0.107729 -83.1253 1 -0 0.119731 -84.4375 0.107729 96.8747 0.119731 95.5625 
6.96374 0.107485 -83.1409 1 -0 0.119459 -84.4502 0.107485 96.8591 0.119459 95.5498 
6.97981 0.107241 -83.1566 1 -0 0.119187 -84.4628 0.107241 96.8434 0.119187 95.5372 
6.99592 0.106997 -83.1722 1 -0 0.118917 -84.4754 0.106997 96.8278 0.118917 95.5246 
7.01206 0.106755 -83.1878 1 -0 0.118647 -84.488 0.106755 96.8122 0.118647 95.512 
7.02824 0.106512 -83.2033 1 -0 0.118377 -84.5005 0.106512 96.7967 0.118377 95.4995 
7.04446 0.10627 -83.2188 1 -0 0.118108 -84.5131 0.10627 96.7812 0.118108 95.4869 
7.06072 0.106029 -83.2343 1 -0 0.11784 -84.5255 0.106029 96.7657 0.11784 95.4745 
7.07701 0.105788 -83.2497 1 -0 0.117572 -84.538 0.105788 96.7503 0.117572 95.462 
7.09334 0.105548 -83.2651 1 -0 0.117305 -84.5504 0.105548 96.7349 0.117305 95.4496 
7.10971 0.105309 -83.2805 1 -0 0.117039 -84.5628 0.105309 96.7195 0.117039 95.4372 
7.12612 0.105069 -83.2958 1 -0 0.116773 -84.5752 0.105069 96.7042 0.116773 95.4248 
7.14256 0.104831 -83.3111 1 -0 0.116508 -84.5876 0.104831 96.6889 0.116508 95.4124 
7.15904 0.104593 -83.3263 1 -0 0.116243 -84.5999 0.104593 96.6737 0.116243 95.4001 
7.17556 0.104355 -83.3416 1 -0 0.115979 -84.6122 0.104355 96.6584 0.115979 95.3878 
7.19212 0.104118 -83.3568 1 -0 0.115715 -84.6245 0.104118 96.6432 0.115715 95.3755 
7.20872 0.103882 -83.3719 1 -0 0.115452 -84.6367 0.103882 96.6281 0.115452 95.3633 
7.22535 0.103646 -83.387 1 -0 0.11519 -84.6489 0.103646 96.613 0.11519 95.3511 
7.24202 0.10341 -83.4021 1 -0 0.114928 -84.6611 0.10341 96.5979 0.114928 95.3389 
7.25873 0.103175 -83.4172 1 -0 0.114667 -84.6733 0.103175 96.5828 0.114667 95.3267 
7.27548 0.102941 -83.4322 1 -0 0.114406 -84.6854 0.102941 96.5678 0.114406 95.3146 
7.29227 0.102707 -83.4472 1 -0 0.114146 -84.6975 0.102707 96.5528 0.114146 95.3025 
7.3091 0.102474 -83.4622 1 -0 0.113886 -84.7096 0.102474 96.5378 0.113886 95.2904 
7.32597 0.102241 -83.4771 1 -0 0.113628 -84.7216 0.102241 96.5229 0.113628 95.2784 
7.34287 0.102008 -83.492 1 -0 0.113369 -84.7336 0.102008 96.508 0.113369 95.2664 
7.35981 0.101776 -83.5068 1 -0 0.113111 -84.7456 0.101776 96.4932 0.113111 95.2544 
7.3768 0.101545 -83.5216 1 -0 0.112854 -84.7576 0.101545 96.4784 0.112854 95.2424 
7.39382 0.101314 -83.5364 1 -0 0.112598 -84.7696 0.101314 96.4636 0.112598 95.2304 
7.41088 0.101084 -83.5512 1 -0 0.112341 -84.7815 0.101084 96.4488 0.112341 95.2185 
7.42798 0.100854 -83.5659 1 -0 0.112086 -84.7934 0.100854 96.4341 0.112086 95.2066 
7.44512 0.100625 -83.5806 1 -0 0.111831 -84.8052 0.100625 96.4194 0.111831 95.1948 
7.4623 0.100396 -83.5953 1 -0 0.111577 -84.8171 0.100396 96.4047 0.111577 95.1829 
7.47952 0.100168 -83.6099 1 -0 0.111323 -84.8289 0.100168 96.3901 0.111323 95.1711 
7.49678 0.0999401 -83.6245 1 -0 0.11107 -84.8407 0.0999401 96.3755 0.11107 95.1593 
7.51408 0.0997129 -83.639 1 -0 0.110817 -84.8524 0.0997129 96.361 0.110817 95.1476 
