f 1m 1f 2m 2f 3m 3f 4m 4f jL0402m jL0402f jL0300m jL0300f jVINm jVINf 
0.247708 0.970664 -13.9126 1 5.18315e-17 0.240441 76.0874 1.06537 -1.0204e-17 0.0420011 -90 0.970664 -13.9126 1.00088 -177.595
0.253536 0.969331 -14.2268 1 1.92961e-16 0.245761 75.7732 1.0687 -5.28593e-17 0.0431237 -90 0.969331 -14.2268 1.00093 -177.531
0.259502 0.96794 -14.5475 1 2.60711e-16 0.251183 75.4525 1.0722 1.04576e-15 0.0442833 -90 0.96794 -14.5475 1.00098 -177.464
0.265609 0.966489 -14.8748 1 -1.322e-16 0.256708 75.1252 1.0759 1.41927e-15 0.0454817 -90 0.966489 -14.8748 1.00103 -177.396
0.271859 0.964976 -15.2088 1 7.82326e-17 0.262338 74.7912 1.07981 -2.13055e-15 0.0467208 -90 0.964976 -15.2088 1.00109 -177.325
0.278256 0.963399 -15.5496 1 1.43071e-16 0.268072 74.4504 1.08392 3.22371e-17 0.0480026 -90 0.963399 -15.5496 1.00115 -177.252
0.284804 0.961755 -15.8972 1 1.89273e-16 0.273911 74.1028 1.08827 3.96002e-16 0.0493292 -90 0.961755 -15.8972 1.00122 -177.176
0.291505 0.960042 -16.2517 1 -3.02836e-17 0.279857 73.7483 1.09287 2.39907e-15 0.0507031 -90 0.960042 -16.2517 1.00128 -177.097
0.298365 0.958256 -16.6133 1 1.94902e-16 0.28591 73.3867 1.09772 9.40811e-17 0.0521267 -90 0.958256 -16.6133 1.00136 -177.016
0.305386 0.956397 -16.9819 1 1.12399e-16 0.29207 73.0181 1.10285 -1.36188e-15 0.0536027 -90 0.956397 -16.9819 1.00144 -176.932
0.312572 0.95446 -17.3578 1 8.61918e-17 0.298337 72.6422 1.10828 -1.29741e-15 0.0551341 -90 0.95446 -17.3578 1.00152 -176.844
0.319927 0.952444 -17.7409 1 -2.01891e-16 0.304713 72.2591 1.11402 2.85885e-15 0.0567239 -90 0.952444 -17.7409 1.00161 -176.753
0.327455 0.950346 -18.1313 1 -1.43653e-17 0.311196 71.8687 1.12011 3.00208e-15 0.0583756 -90 0.950346 -18.1313 1.0017 -176.659
0.33516 0.948162 -18.5291 1 -1.38023e-16 0.317787 71.4709 1.12655 9.69467e-16 0.0600929 -90 0.948162 -18.5291 1.0018 -176.561
0.343047 0.945891 -18.9344 1 -5.42387e-16 0.324485 71.0656 1.13338 -1.98891e-15 0.0618798 -90 0.945891 -18.9344 1.00191 -176.459
0.351119 0.943529 -19.3472 1 -3.0206e-16 0.331291 70.6528 1.14062 7.57358e-16 0.0637407 -90 0.943529 -19.3472 1.00203 -176.353
0.359381 0.941073 -19.7675 1 6.70898e-16 0.338204 70.2325 1.14831 6.05887e-16 0.0656804 -90 0.941073 -19.7675 1.00215 -176.242
0.367838 0.93852 -20.1955 1 -1.3317e-16 0.345224 69.8045 1.15648 9.66871e-17 0.067704 -90 0.93852 -20.1955 1.00229 -176.127
0.376494 0.935869 -20.631 1 4.48042e-16 0.352349 69.369 1.16516 -1.46482e-15 0.0698174 -90 0.935869 -20.631 1.00243 -176.006
0.385353 0.933115 -21.0743 1 1.47924e-16 0.359579 68.9257 1.17439 3.64979e-16 0.0720267 -90 0.933115 -21.0743 1.00259 -175.88
0.394421 0.930256 -21.5253 1 -1.44818e-16 0.366912 68.4747 1.18423 -8.40284e-16 0.0743388 -90 0.930256 -21.5253 1.00276 -175.749
0.403702 0.927288 -21.984 1 1.13369e-16 0.374348 68.016 1.19471 -3.26731e-15 0.0767615 -90 0.927288 -21.984 1.00294 -175.611
0.413201 0.92421 -22.4505 1 4.16982e-16 0.381885 67.5495 1.20589 -1.54639e-15 0.079303 -90 0.92421 -22.4505 1.00314 -175.466
0.422924 0.921018 -22.9247 1 -1.66172e-16 0.389521 67.0753 1.21783 -1.32337e-15 0.0819727 -90 0.921018 -22.9247 1.00335 -175.314
0.432876 0.917709 -23.4067 1 6.07225e-16 0.397254 66.5933 1.23059 2.01163e-15 0.0847809 -90 0.917709 -23.4067 1.00359 -175.154
0.443062 0.91428 -23.8963 1 9.12391e-16 0.405083 66.1037 1.24425 4.25305e-16 0.0877393 -90 0.91428 -23.8963 1.00384 -174.986
0.453488 0.910729 -24.3937 1 1.47924e-16 0.413005 65.6063 1.25889 1.72677e-15 0.0908606 -90 0.910729 -24.3937 1.00412 -174.808
0.464159 0.907053 -24.8988 1 -4.25523e-16 0.421017 65.1012 1.27461 1.99626e-14 0.0941594 -90 0.907053 -24.8988 1.00442 -174.621
0.475081 0.903249 -25.4115 1 -6.19649e-16 0.429117 64.5885 1.29149 -1.97016e-14 0.0976519 -90 0.903249 -25.4115 1.00476 -174.423
0.48626 0.899315 -25.9318 1 2.41958e-15 0.437301 64.0682 1.30967 0 0.101357 -90 0.899315 -25.9318 1.00512 -174.212
0.497702 0.895248 -26.4597 1 -7.60973e-17 0.445568 63.5403 1.32927 0 0.105294 -90 0.895248 -26.4597 1.00553 -173.989
0.509414 0.891047 -26.9949 1 -4.14963e-15 0.453912 63.0051 1.35044 -3.76831e-14 0.109488 -90 0.891047 -26.9949 1.00598 -173.752
0.521401 0.886708 -27.5376 1 -8.33964e-16 0.462331 62.4624 1.37336 -1.85271e-14 0.113967 -90 0.886708 -27.5376 1.00647 -173.498
0.53367 0.882229 -28.0875 1 -1.38683e-15 0.47082 61.9125 1.39822 0 0.11876 -90 0.882229 -28.0875 1.00703 -173.227
0.546228 0.87761 -28.6446 1 6.05672e-17 0.479375 61.3554 1.42524 0 0.123903 -90 0.87761 -28.6446 1.00765 -172.937
0.559081 0.872848 -29.2087 1 -4.44315e-15 0.487993 60.7913 1.4547 -1.74912e-14 0.12944 -90 0.872848 -29.2087 1.00834 -172.625
0.572237 0.867941 -29.7798 1 2.26273e-15 0.496668 60.2202 1.48689 -1.71125e-14 0.135418 -90 0.867941 -29.7798 1.00913 -172.288
0.585702 0.862888 -30.3576 1 -1.48157e-15 0.505396 59.6424 1.52218 0 0.141894 -90 0.862888 -30.3576 1.01002 -171.924
0.599484 0.857688 -30.942 1 1.29521e-15 0.514171 59.058 1.56099 0 0.148936 -90 0.857688 -30.942 1.01103 -171.529
0.613591 0.85234 -31.5329 1 -2.03133e-15 0.522988 58.4671 1.60383 3.17295e-14 0.156624 -90 0.85234 -31.5329 1.01219 -171.098
0.628029 0.846843 -32.13 1 -2.05773e-15 0.531843 57.87 1.65131 0 0.165056 -90 0.846843 -32.13 1.01353 -170.628
0.642807 0.841197 -32.7332 1 -1.43653e-15 0.540728 57.2668 1.70416 0 0.174346 -90 0.841197 -32.7332 1.01508 -170.11
