f 1m 1f 2m 2f 3m 3f 4m 4f jL0402m jL0402f jL0300m jL0300f jVINm jVINf 
7.0548 0.140344 -81.9322 1 9.25979e-17 0.990103 8.06777 0.0205043 180 0.0230224 90 0.140344 -81.9322 1.00026 178.681
7.22081 0.137179 -82.1153 1 -1.55301e-17 0.990546 7.88466 0.0195541 180 0.0224721 90 0.137179 -82.1153 1.00025 178.713
7.39072 0.134083 -82.2944 1 -7.05647e-17 0.99097 7.70559 0.0186488 180 0.021936 90 0.134083 -82.2944 1.00024 178.743
7.56463 0.131054 -82.4695 1 -1.60154e-17 0.991375 7.5305 0.0177861 180 0.0214136 90 0.131054 -82.4695 1.00023 178.773
7.74264 0.128091 -82.6407 1 -1.3977e-16 0.991762 7.35929 0.016964 180 0.0209044 90 0.128091 -82.6407 1.00022 178.802
7.92483 0.125193 -82.8081 1 -8.05621e-17 0.992132 7.19189 0.0161804 180 0.020408 90 0.125193 -82.8081 1.00021 178.831
8.11131 0.122358 -82.9718 1 1.43653e-17 0.992486 7.02822 0.0154337 180 0.0199242 90 0.122358 -82.9718 1.0002 178.859
8.30218 0.119586 -83.1318 1 -1.89758e-16 0.992824 6.8682 0.0147219 180 0.0194525 90 0.119586 -83.1318 1.00019 178.886
8.49753 0.116875 -83.2882 1 -1.13564e-17 0.993147 6.71176 0.0140433 -180 0.0189926 90 0.116875 -83.2882 1.00018 178.912
8.69749 0.114223 -83.4412 1 1.12884e-16 0.993455 6.55882 0.0133965 180 0.0185441 90 0.114223 -83.4412 1.00017 178.938
8.90215 0.11163 -83.5907 1 -3.78545e-17 0.99375 6.4093 0.0127798 180 0.0181067 90 0.11163 -83.5907 1.00016 178.963
9.11163 0.109095 -83.7369 1 -5.64906e-17 0.994031 6.26313 0.0121919 180 0.0176802 90 0.109095 -83.7369 1.00016 178.987
9.32603 0.106615 -83.8798 1 -9.47333e-17 0.9943 6.12025 0.0116313 -180 0.0172642 90 0.106615 -83.8798 1.00015 179.011
9.54548 0.104191 -84.0194 1 4.75608e-17 0.994557 5.98058 0.0110968 -180 0.0168583 90 0.104191 -84.0194 1.00014 179.034
9.7701 0.101821 -84.156 1 7.74561e-17 0.994803 5.84404 0.0105871 180 0.0164625 90 0.101821 -84.156 1.00014 179.057
10 0.0995036 -84.2894 1 -1.22008e-16 0.995037 5.71059 0.010101 180 0.0160763 90 0.0995036 -84.2894 1.00013 179.079
