f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f jL1m jL1f jL2m jL2f jL11m jL11f jL21m jL21f jVINm jVINf jVINm jVINf 
0.00174753 0.00987988 88.742 0.0108677 178.742 0.0109777 88.8615 1 -4.70713e-17 0.0109774 178.754 1 90 0.999842 -0.628962 0.00987988 -91.258 0.999822 89.3711 0.0108677 -1.25802 0.999842 179.371 0.999822 -90.6289
0.00178865 0.0101123 88.7124 0.0111233 178.712 0.0112359 88.8347 1 5.6269e-17 0.0112356 178.725 1 90 0.999835 -0.643755 0.0101123 -91.2876 0.999813 89.3563 0.0111233 -1.28761 0.999835 179.356 0.999813 -90.6437
0.00183074 0.0103501 88.6821 0.0113849 178.682 0.0115001 88.8073 1 2.27339e-17 0.0114999 178.695 1 90 0.999827 -0.658895 0.0103501 -91.3179 0.999804 89.3411 0.0113849 -1.3179 0.999827 179.341 0.999804 -90.6589
0.00187382 0.0105935 88.6511 0.0116526 178.651 0.0117706 88.7792 1 2.17166e-17 0.0117703 178.665 1 90 0.999818 -0.674392 0.0105935 -91.3489 0.999795 89.3256 0.0116526 -1.3489 0.999818 179.326 0.999795 -90.6744
0.00191791 0.0108427 88.6193 0.0119267 178.619 0.0120475 88.7505 1 5.62215e-17 0.0120471 178.633 1 90 0.99981 -0.690252 0.0108427 -91.3807 0.999785 89.3098 0.0119267 -1.38063 0.99981 179.31 0.999785 -90.6902
0.00196304 0.0110977 88.5869 0.0122071 178.587 0.0123308 88.7211 1 7.10547e-17 0.0123304 178.601 1 90 0.999801 -0.706485 0.0110977 -91.4131 0.999775 89.2936 0.0122071 -1.41311 0.999801 179.294 0.999775 -90.7064
0.00200923 0.0113587 88.5536 0.0124942 178.554 0.0126208 88.691 1 -1.90077e-17 0.0126204 178.568 1 90 0.999791 -0.723099 0.0113587 -91.4464 0.999764 89.2769 0.0124942 -1.44635 0.999791 179.277 0.999764 -90.7231
0.00205651 0.0116258 88.5196 0.012788 178.52 0.0129176 88.6603 1 8.17904e-19 0.0129172 178.534 1 90 0.999781 -0.740103 0.0116258 -91.4804 0.999753 89.2599 0.012788 -1.48036 0.999781 179.26 0.999753 -90.7401
0.0021049 0.0118992 88.4848 0.0130887 178.485 0.0132214 88.6287 1 -1.44087e-17 0.0132209 178.5 1 90 0.999771 -0.757507 0.0118992 -91.5152 0.999741 89.2425 0.0130887 -1.51518 0.999771 179.242 0.999741 -90.7575
0.00215443 0.012179 88.4491 0.0133965 178.449 0.0135323 88.5965 1 3.04408e-18 0.0135318 178.465 1 90 0.99976 -0.775319 0.012179 -91.5509 0.999729 89.2247 0.0133965 -1.55082 0.99976 179.225 0.999729 -90.7753
0.00220513 0.0124654 88.4127 0.0137115 178.413 0.0138505 88.5635 1 -3.40966e-17 0.01385 178.429 1 90 0.999749 -0.79355 0.0124654 -91.5873 0.999716 89.2065 0.0137115 -1.58729 0.999749 179.206 0.999716 -90.7935
0.00225702 0.0127585 88.3753 0.0140339 178.375 0.0141762 88.5297 1 -1.32783e-17 0.0141756 178.392 1 90 0.999737 -0.812208 0.0127585 -91.6247 0.999703 89.1878 0.0140339 -1.62463 0.999737 179.188 0.999703 -90.8122
0.00231013 0.0130585 88.3371 0.0143638 178.337 0.0145095 88.4951 1 2.09482e-18 0.0145089 178.354 1 90 0.999724 -0.831305 0.0130585 -91.6629 0.999688 89.1688 0.0143638 -1.66283 0.999724 179.169 0.999688 -90.8312
0.00236449 0.0133655 88.298 0.0147015 178.298 0.0148507 88.4597 1 2.90721e-17 0.01485 178.315 1 90 0.999711 -0.850849 0.0133655 -91.702 0.999674 89.1492 0.0147015 -1.70194 0.999711 179.149 0.999674 -90.8508
0.00242013 0.0136798 88.258 0.0150472 178.258 0.0151998 88.4235 1 -8.57454e-17 0.0151992 178.275 1 90 0.999697 -0.870853 0.0136798 -91.742 0.999658 89.1292 0.0150472 -1.74196 0.999697 179.129 0.999658 -90.8708
