f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1.35305 1.18076e-07 90 1 0 0.00343369 -179.998 1.00002 -4.61132e-08 1 0 0.00156717 1.23131e-05 0.891358 -2.2132e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00194599 0.00171184 -179.998 0 0 0 0 0 0 3.03113e-15 90 5.17266e-18 -89.9981 2.9477e-14 -90 5.82125e-18 -89.9981 3.2137e-07 180 
1.38489 1.20854e-07 90 1 0 0.00343369 -179.998 1.00002 -4.71983e-08 1 0 0.00156717 1.26029e-05 0.891358 -2.26528e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00199178 0.00171184 -179.998 0 0 0 0 0 0 3.10246e-15 90 5.29438e-18 -89.998 3.01706e-14 -90 5.95823e-18 -89.998 3.2137e-07 180 
1.41747 1.23698e-07 90 1 0 0.00343369 -179.998 1.00002 -4.8309e-08 1 0 0.00156717 1.28994e-05 0.891358 -2.31858e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00203865 0.00171184 -179.998 0 0 0 0 0 0 3.17546e-15 90 5.41896e-18 -89.998 3.08805e-14 -90 6.09843e-18 -89.998 3.2137e-07 180 
1.45083 1.26609e-07 90 1 0 0.00343369 -179.998 1.00002 -4.94457e-08 1 0 0.00156717 1.3203e-05 0.891358 -2.37314e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00208662 0.00171184 -179.998 0 0 0 0 0 0 3.25018e-15 90 5.54647e-18 -89.9979 3.16072e-14 -90 6.24194e-18 -89.9979 3.2137e-07 180 
1.48497 1.29588e-07 90 1 0 0.00343369 -179.998 1.00002 -5.06092e-08 1 0 0.00156717 1.35137e-05 0.891358 -2.42898e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00213572 0.00171184 -179.998 0 0 0 0 0 0 3.32666e-15 90 5.67699e-18 -89.9979 3.23509e-14 -90 6.38882e-18 -89.9979 3.2137e-07 180 
1.51991 1.32637e-07 90 1 0 0.00343369 -179.998 1.00002 -5.18001e-08 1 0 0.00156717 1.38317e-05 0.891358 -2.48614e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00218597 0.00171184 -179.998 0 0 0 0 0 0 3.40494e-15 90 5.81057e-18 -89.9978 3.31122e-14 -90 6.53915e-18 -89.9978 3.2137e-07 180 
1.55568 1.35758e-07 90 1 0 0.00343369 -179.998 1.00002 -5.3019e-08 1 0 0.00156717 1.41571e-05 0.891358 -2.54464e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00223741 0.00171184 -179.998 0 0 0 0 0 0 3.48507e-15 90 5.9473e-18 -89.9978 3.38914e-14 -90 6.69302e-18 -89.9978 3.2137e-07 180 
1.59228 1.38953e-07 90 1 0 0.00343369 -179.998 1.00002 -5.42666e-08 1 0 0.00156717 1.44903e-05 0.891358 -2.60452e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00229006 0.00171184 -179.998 0 0 0 0 0 0 3.56707e-15 90 6.08725e-18 -89.9977 3.46889e-14 -90 6.85052e-18 -89.9977 3.2137e-07 180 
1.62975 1.42223e-07 90 1 0 0.00343369 -179.998 1.00002 -5.55436e-08 1 0 0.00156717 1.48312e-05 0.891358 -2.6658e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00234395 0.00171184 -179.998 0 0 0 0 0 0 3.65101e-15 90 6.23048e-18 -89.9977 3.55051e-14 -90 7.01172e-18 -89.9977 3.2137e-07 180 
1.6681 1.45569e-07 90 1 0 0.00343369 -179.998 1.00002 -5.68506e-08 1 0 0.00156717 1.51802e-05 0.891358 -2.72853e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.0023991 0.00171184 -179.998 0 0 0 0 0 0 3.73692e-15 90 6.37709e-18 -89.9976 3.63406e-14 -90 7.17671e-18 -89.9976 3.2137e-07 180 
