f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
2403.16 30.0002 0.00316212 2 90 2 90 0.000375282 61.9301 0.000167033 -97.5915 3.00018 -179.994
2413.17 30.0002 0.00314901 2 90 2 90 0.000373725 61.9301 0.000166341 -97.5915 3.00018 -179.994
2423.18 30.0002 0.003136 2 90 2 90 0.000372181 61.9301 0.000165654 -97.5915 3.00018 -179.994
2433.19 30.0002 0.0031231 2 90 2 90 0.00037065 61.9301 0.000164972 -97.5915 3.00017 -179.994
2443.2 30.0002 0.0031103 2 90 2 90 0.000369132 61.9301 0.000164296 -97.5915 3.00017 -179.994
2453.21 30.0002 0.00309761 2 90 2 90 0.000367626 61.9301 0.000163626 -97.5915 3.00017 -179.994
2463.22 30.0002 0.00308503 2 90 2 90 0.000366132 61.9301 0.000162961 -97.5916 3.00017 -179.994
2473.23 30.0002 0.00307254 2 90 2 90 0.000364651 61.9301 0.000162302 -97.5916 3.00017 -179.994
2483.23 30.0002 0.00306016 2 90 2 90 0.000363181 61.9301 0.000161647 -97.5916 3.00017 -179.994
2493.24 30.0002 0.00304787 2 90 2 90 0.000361723 61.9301 0.000160999 -97.5916 3.00017 -179.994
2503.25 30.0002 0.00303569 2 90 2 90 0.000360277 61.93 0.000160355 -97.5916 3.00017 -179.994
2513.26 30.0002 0.0030236 2 90 2 90 0.000358842 61.93 0.000159716 -97.5916 3.00017 -179.994
2523.27 30.0002 0.0030116 2 90 2 90 0.000357418 61.93 0.000159083 -97.5916 3.00017 -179.994
2533.28 30.0002 0.0029997 2 90 2 90 0.000356006 61.93 0.000158454 -97.5916 3.00017 -179.994
2543.29 30.0002 0.0029879 2 90 2 90 0.000354605 61.93 0.000157831 -97.5917 3.00017 -179.994
2553.3 30.0002 0.00297619 2 90 2 90 0.000353215 61.93 0.000157212 -97.5917 3.00017 -179.994
2563.31 30.0002 0.00296457 2 90 2 90 0.000351836 61.93 0.000156598 -97.5917 3.00017 -179.994
2573.32 30.0002 0.00295303 2 90 2 90 0.000350468 61.93 0.000155989 -97.5917 3.00016 -179.994
2583.32 30.0002 0.00294159 2 90 2 90 0.00034911 61.93 0.000155384 -97.5917 3.00016 -179.994
2593.33 30.0002 0.00293024 2 90 2 90 0.000347762 61.93 0.000154785 -97.5917 3.00016 -179.994
2603.34 30.0002 0.00291897 2 90 2 90 0.000346425 61.9299 0.00015419 -97.5917 3.00016 -179.994
2613.35 30.0002 0.00290779 2 90 2 90 0.000345099 61.9299 0.000153599 -97.5917 3.00016 -179.994
2623.36 30.0002 0.0028967 2 90 2 90 0.000343782 61.9299 0.000153013 -97.5917 3.00016 -179.994
2633.37 30.0002 0.00288569 2 90 2 90 0.000342475 61.9299 0.000152432 -97.5918 3.00016 -179.994
2643.38 30.0002 0.00287476 2 90 2 90 0.000341179 61.9299 0.000151854 -97.5918 3.00016 -179.994
2653.39 30.0002 0.00286392 2 90 2 90 0.000339892 61.9299 0.000151282 -97.5918 3.00016 -179.994
2663.4 30.0002 0.00285316 2 90 2 90 0.000338614 61.9299 0.000150713 -97.5918 3.00016 -179.994
2673.41 30.0002 0.00284248 2 90 2 90 0.000337347 61.9299 0.000150149 -97.5918 3.00016 -179.994
2683.41 30.0002 0.00283187 2 90 2 90 0.000336088 61.9299 0.000149589 -97.5918 3.00016 -179.994
2693.42 30.0002 0.00282135 2 90 2 90 0.000334839 61.9299 0.000149033 -97.5918 3.00016 -179.994
2703.43 30.0002 0.0028109 2 90 2 90 0.0003336 61.9299 0.000148481 -97.5918 3.00016 -179.994
2713.44 30.0002 0.00280054 2 90 2 90 0.000332369 61.9298 0.000147933 -97.5918 3.00016 -179.994
2723.45 30.0002 0.00279024 2 90 2 90 0.000331148 61.9298 0.00014739 -97.5919 3.00016 -179.994
2733.46 30.0002 0.00278003 2 90 2 90 0.000329935 61.9298 0.00014685 -97.5919 3.00016 -179.994
2743.47 30.0002 0.00276988 2 90 2 90 0.000328731 61.9298 0.000146314 -97.5919 3.00015 -179.994
2753.48 30.0002 0.00275982 2 90 2 90 0.000327537 61.9298 0.000145782 -97.5919 3.00015 -179.994
2763.49 30.0002 0.00274982 2 90 2 90 0.00032635 61.9298 0.000145254 -97.5919 3.00015 -179.995
2773.5 30.0002 0.0027399 2 90 2 90 0.000325173 61.9298 0.00014473 -97.5919 3.00015 -179.995
2783.5 30.0002 0.00273004 2 90 2 90 0.000324003 61.9298 0.00014421 -97.5919 3.00015 -179.995
2793.51 30.0002 0.00272026 2 90 2 90 0.000322842 61.9298 0.000143693 -97.5919 3.00015 -179.995
2803.52 30.0002 0.00271055 2 90 2 90 0.00032169 61.9298 0.00014318 -97.5919 3.00015 -179.995
2813.53 30.0002 0.00270091 2 90 2 90 0.000320545 61.9298 0.000142671 -97.5919 3.00015 -179.995
2823.54 30.0002 0.00269133 2 90 2 90 0.000319409 61.9298 0.000142165 -97.592 3.00015 -179.995
2833.55 30.0002 0.00268183 2 90 2 90 0.000318281 61.9297 0.000141663 -97.592 3.00015 -179.995
2843.56 30.0002 0.00267239 2 90 2 90 0.000317161 61.9297 0.000141164 -97.592 3.00015 -179.995
2853.57 30.0002 0.00266301 2 90 2 90 0.000316048 61.9297 0.000140669 -97.592 3.00015 -179.995
2863.58 30.0002 0.00265371 2 90 2 90 0.000314944 61.9297 0.000140177 -97.592 3.00015 -179.995
2873.59 30.0002 0.00264446 2 90 2 90 0.000313847 61.9297 0.000139689 -97.592 3.00015 -179.995
2883.59 30.0002 0.00263528 2 90 2 90 0.000312757 61.9297 0.000139204 -97.592 3.00015 -179.995
2893.6 30.0002 0.00262617 2 90 2 90 0.000311675 61.9297 0.000138723 -97.592 3.00015 -179.995
2903.61 30.0002 0.00261712 2 90 2 90 0.000310601 61.9297 0.000138245 -97.592 3.00015 -179.995
2913.62 30.0002 0.00260812 2 90 2 90 0.000309534 61.9297 0.00013777 -97.592 3.00015 -179.995
2923.63 30.0002 0.0025992 2 90 2 90 0.000308474 61.9297 0.000137298 -97.592 3.00015 -179.995
2933.64 30.0002 0.00259033 2 90 2 90 0.000307422 61.9297 0.00013683 -97.5921 3.00014 -179.995
2943.65 30.0002 0.00258152 2 90 2 90 0.000306377 61.9297 0.000136364 -97.5921 3.00014 -179.995
2953.66 30.0002 0.00257277 2 90 2 90 0.000305339 61.9297 0.000135902 -97.5921 3.00014 -179.995
2963.67 30.0002 0.00256408 2 90 2 90 0.000304307 61.9297 0.000135443 -97.5921 3.00014 -179.995
2973.68 30.0002 0.00255545 2 90 2 90 0.000303283 61.9296 0.000134987 -97.5921 3.00014 -179.995
2983.68 30.0002 0.00254688 2 90 2 90 0.000302266 61.9296 0.000134535 -97.5921 3.00014 -179.995
2993.69 30.0002 0.00253837 2 90 2 90 0.000301255 61.9296 0.000134085 -97.5921 3.00014 -179.995
3003.7 30.0002 0.00252991 2 90 2 90 0.000300251 61.9296 0.000133638 -97.5921 3.00014 -179.995
3013.71 30.0002 0.0025215 2 90 2 90 0.000299254 61.9296 0.000133194 -97.5921 3.00014 -179.995
3023.72 30.0002 0.00251316 2 90 2 90 0.000298264 61.9296 0.000132753 -97.5921 3.00014 -179.995
3033.73 30.0002 0.00250487 2 90 2 90 0.00029728 61.9296 0.000132315 -97.5921 3.00014 -179.995
3043.74 30.0002 0.00249663 2 90 2 90 0.000296302 61.9296 0.00013188 -97.5921 3.00014 -179.995
3053.75 30.0002 0.00248845 2 90 2 90 0.000295331 61.9296 0.000131448 -97.5922 3.00014 -179.995
3063.76 30.0002 0.00248032 2 90 2 90 0.000294366 61.9296 0.000131018 -97.5922 3.00014 -179.995
3073.77 30.0002 0.00247224 2 90 2 90 0.000293407 61.9296 0.000130592 -97.5922 3.00014 -179.995
3083.77 30.0002 0.00246422 2 90 2 90 0.000292455 61.9296 0.000130168 -97.5922 3.00014 -179.995
3093.78 30.0002 0.00245624 2 90 2 90 0.000291509 61.9296 0.000129747 -97.5922 3.00014 -179.995
3103.79 30.0002 0.00244832 2 90 2 90 0.000290569 61.9296 0.000129328 -97.5922 3.00014 -179.995
3113.8 30.0002 0.00244045 2 90 2 90 0.000289635 61.9295 0.000128913 -97.5922 3.00014 -179.995
3123.81 30.0002 0.00243263 2 90 2 90 0.000288707 61.9295 0.0001285 -97.5922 3.00014 -179.995
3133.82 30.0002 0.00242486 2 90 2 90 0.000287785 61.9295 0.000128089 -97.5922 3.00014 -179.995
3143.83 30.0002 0.00241714 2 90 2 90 0.000286869 61.9295 0.000127681 -97.5922 3.00013 -179.995
3153.84 30.0002 0.00240947 2 90 2 90 0.000285958 61.9295 0.000127276 -97.5922 3.00013 -179.995
3163.85 30.0002 0.00240185 2 90 2 90 0.000285054 61.9295 0.000126874 -97.5922 3.00013 -179.995
3173.86 30.0002 0.00239428 2 90 2 90 0.000284155 61.9295 0.000126473 -97.5922 3.00013 -179.995
3183.86 30.0002 0.00238675 2 90 2 90 0.000283261 61.9295 0.000126076 -97.5923 3.00013 -179.995
3193.87 30.0002 0.00237927 2 90 2 90 0.000282374 61.9295 0.000125681 -97.5923 3.00013 -179.995
3203.88 30.0002 0.00237184 2 90 2 90 0.000281492 61.9295 0.000125288 -97.5923 3.00013 -179.995
3213.89 30.0002 0.00236445 2 90 2 90 0.000280615 61.9295 0.000124898 -97.5923 3.00013 -179.995
3223.9 30.0002 0.00235711 2 90 2 90 0.000279744 61.9295 0.00012451 -97.5923 3.00013 -179.995
3233.91 30.0002 0.00234981 2 90 2 90 0.000278878 61.9295 0.000124125 -97.5923 3.00013 -179.995
3243.92 30.0002 0.00234256 2 90 2 90 0.000278018 61.9295 0.000123742 -97.5923 3.00013 -179.995
3253.93 30.0002 0.00233536 2 90 2 90 0.000277162 61.9295 0.000123361 -97.5923 3.00013 -179.995
3263.94 30.0002 0.0023282 2 90 2 90 0.000276313 61.9295 0.000122983 -97.5923 3.00013 -179.995
3273.95 30.0002 0.00232108 2 90 2 90 0.000275468 61.9294 0.000122607 -97.5923 3.00013 -179.995
3283.95 30.0002 0.00231401 2 90 2 90 0.000274628 61.9294 0.000122233 -97.5923 3.00013 -179.995
3293.96 30.0002 0.00230697 2 90 2 90 0.000273794 61.9294 0.000121862 -97.5923 3.00013 -179.995
3303.97 30.0002 0.00229999 2 90 2 90 0.000272964 61.9294 0.000121493 -97.5923 3.00013 -179.995
3313.98 30.0002 0.00229304 2 90 2 90 0.00027214 61.9294 0.000121126 -97.5924 3.00013 -179.995
3323.99 30.0002 0.00228613 2 90 2 90 0.00027132 61.9294 0.000120761 -97.5924 3.00013 -179.995
3334 30.0002 0.00227927 2 90 2 90 0.000270506 61.9294 0.000120398 -97.5924 3.00013 -179.995
3344.01 30.0002 0.00227245 2 90 2 90 0.000269696 61.9294 0.000120038 -97.5924 3.00013 -179.995
3354.02 30.0002 0.00226567 2 90 2 90 0.000268891 61.9294 0.00011968 -97.5924 3.00013 -179.995
3364.03 30.0002 0.00225893 2 90 2 90 0.000268091 61.9294 0.000119324 -97.5924 3.00013 -179.995
3374.04 30.0002 0.00225223 2 90 2 90 0.000267296 61.9294 0.00011897 -97.5924 3.00013 -179.995
3384.05 30.0002 0.00224556 2 90 2 90 0.000266506 61.9294 0.000118618 -97.5924 3.00013 -179.996
3394.05 30.0002 0.00223894 2 90 2 90 0.00026572 61.9294 0.000118268 -97.5924 3.00013 -179.996
3404.06 30.0002 0.00223236 2 90 2 90 0.000264938 61.9294 0.00011792 -97.5924 3.00012 -179.996
3414.07 30.0002 0.00222581 2 90 2 90 0.000264162 61.9294 0.000117575 -97.5924 3.00012 -179.996
3424.08 30.0002 0.00221931 2 90 2 90 0.00026339 61.9294 0.000117231 -97.5924 3.00012 -179.996
3434.09 30.0002 0.00221284 2 90 2 90 0.000262622 61.9294 0.000116889 -97.5924 3.00012 -179.996
3444.1 30.0002 0.00220641 2 90 2 90 0.000261859 61.9294 0.00011655 -97.5924 3.00012 -179.996
3454.11 30.0002 0.00220001 2 90 2 90 0.0002611 61.9293 0.000116212 -97.5924 3.00012 -179.996
3464.12 30.0002 0.00219366 2 90 2 90 0.000260345 61.9293 0.000115876 -97.5924 3.00012 -179.996
3474.13 30.0002 0.00218734 2 90 2 90 0.000259595 61.9293 0.000115542 -97.5925 3.00012 -179.996
3484.14 30.0002 0.00218105 2 90 2 90 0.00025885 61.9293 0.00011521 -97.5925 3.00012 -179.996
3494.14 30.0002 0.00217481 2 90 2 90 0.000258108 61.9293 0.00011488 -97.5925 3.00012 -179.996
3504.15 30.0002 0.00216859 2 90 2 90 0.000257371 61.9293 0.000114552 -97.5925 3.00012 -179.996
3514.16 30.0002 0.00216242 2 90 2 90 0.000256638 61.9293 0.000114226 -97.5925 3.00012 -179.996
3524.17 30.0002 0.00215628 2 90 2 90 0.000255909 61.9293 0.000113902 -97.5925 3.00012 -179.996
3534.18 30.0002 0.00215017 2 90 2 90 0.000255184 61.9293 0.000113579 -97.5925 3.00012 -179.996
3544.19 30.0001 0.0021441 2 90 2 90 0.000254464 61.9293 0.000113258 -97.5925 3.00012 -179.996
3554.2 30.0001 0.00213806 2 90 2 90 0.000253747 61.9293 0.000112939 -97.5925 3.00012 -179.996
3564.21 30.0001 0.00213206 2 90 2 90 0.000253035 61.9293 0.000112622 -97.5925 3.00012 -179.996
3574.22 30.0001 0.00212609 2 90 2 90 0.000252326 61.9293 0.000112307 -97.5925 3.00012 -179.996
3584.23 30.0001 0.00212015 2 90 2 90 0.000251621 61.9293 0.000111993 -97.5925 3.00012 -179.996
3594.23 30.0001 0.00211424 2 90 2 90 0.000250921 61.9293 0.000111681 -97.5925 3.00012 -179.996
3604.24 30.0001 0.00210837 2 90 2 90 0.000250224 61.9293 0.000111371 -97.5925 3.00012 -179.996
3614.25 30.0001 0.00210253 2 90 2 90 0.000249531 61.9293 0.000111063 -97.5925 3.00012 -179.996
3624.26 30.0001 0.00209673 2 90 2 90 0.000248842 61.9293 0.000110756 -97.5925 3.00012 -179.996
3634.27 30.0001 0.00209095 2 90 2 90 0.000248156 61.9293 0.000110451 -97.5926 3.00012 -179.996
3644.28 30.0001 0.00208521 2 90 2 90 0.000247475 61.9293 0.000110148 -97.5926 3.00012 -179.996
3654.29 30.0001 0.0020795 2 90 2 90 0.000246797 61.9292 0.000109846 -97.5926 3.00012 -179.996
3664.3 30.0001 0.00207382 2 90 2 90 0.000246123 61.9292 0.000109546 -97.5926 3.00012 -179.996
3674.31 30.0001 0.00206817 2 90 2 90 0.000245453 61.9292 0.000109247 -97.5926 3.00012 -179.996
3684.32 30.0001 0.00206255 2 90 2 90 0.000244786 61.9292 0.000108951 -97.5926 3.00012 -179.996
3694.32 30.0001 0.00205696 2 90 2 90 0.000244123 61.9292 0.000108655 -97.5926 3.00011 -179.996
3704.33 30.0001 0.00205141 2 90 2 90 0.000243463 61.9292 0.000108362 -97.5926 3.00011 -179.996
3714.34 30.0001 0.00204588 2 90 2 90 0.000242807 61.9292 0.00010807 -97.5926 3.00011 -179.996
3724.35 30.0001 0.00204038 2 90 2 90 0.000242154 61.9292 0.000107779 -97.5926 3.00011 -179.996
3734.36 30.0001 0.00203491 2 90 2 90 0.000241505 61.9292 0.000107491 -97.5926 3.00011 -179.996
3744.37 30.0001 0.00202947 2 90 2 90 0.00024086 61.9292 0.000107203 -97.5926 3.00011 -179.996
3754.38 30.0001 0.00202406 2 90 2 90 0.000240218 61.9292 0.000106917 -97.5926 3.00011 -179.996
3764.39 30.0001 0.00201868 2 90 2 90 0.000239579 61.9292 0.000106633 -97.5926 3.00011 -179.996
3774.4 30.0001 0.00201333 2 90 2 90 0.000238944 61.9292 0.00010635 -97.5926 3.00011 -179.996
3784.41 30.0001 0.002008 2 90 2 90 0.000238312 61.9292 0.000106069 -97.5926 3.00011 -179.996
3794.41 30.0001 0.0020027 2 90 2 90 0.000237683 61.9292 0.000105789 -97.5926 3.00011 -179.996
3804.42 30.0001 0.00199744 2 90 2 90 0.000237058 61.9292 0.000105511 -97.5926 3.00011 -179.996
3814.43 30.0001 0.00199219 2 90 2 90 0.000236436 61.9292 0.000105234 -97.5927 3.00011 -179.996
3824.44 30.0001 0.00198698 2 90 2 90 0.000235817 61.9292 0.000104959 -97.5927 3.00011 -179.996
3834.45 30.0001 0.00198179 2 90 2 90 0.000235201 61.9292 0.000104685 -97.5927 3.00011 -179.996
3844.46 30.0001 0.00197663 2 90 2 90 0.000234589 61.9292 0.000104412 -97.5927 3.00011 -179.996
3854.47 30.0001 0.0019715 2 90 2 90 0.00023398 61.9292 0.000104141 -97.5927 3.00011 -179.996
3864.48 30.0001 0.00196639 2 90 2 90 0.000233374 61.9292 0.000103871 -97.5927 3.00011 -179.996
3874.49 30.0001 0.00196132 2 90 2 90 0.000232771 61.9291 0.000103603 -97.5927 3.00011 -179.996
3884.5 30.0001 0.00195626 2 90 2 90 0.000232171 61.9291 0.000103336 -97.5927 3.00011 -179.996
3894.5 30.0001 0.00195123 2 90 2 90 0.000231575 61.9291 0.000103071 -97.5927 3.00011 -179.996
3904.51 30.0001 0.00194623 2 90 2 90 0.000230981 61.9291 0.000102806 -97.5927 3.00011 -179.996
3914.52 30.0001 0.00194126 2 90 2 90 0.00023039 61.9291 0.000102543 -97.5927 3.00011 -179.996
3924.53 30.0001 0.0019363 2 90 2 90 0.000229803 61.9291 0.000102282 -97.5927 3.00011 -179.996
3934.54 30.0001 0.00193138 2 90 2 90 0.000229218 61.9291 0.000102022 -97.5927 3.00011 -179.996
3944.55 30.0001 0.00192648 2 90 2 90 0.000228637 61.9291 0.000101763 -97.5927 3.00011 -179.996
3954.56 30.0001 0.0019216 2 90 2 90 0.000228058 61.9291 0.000101505 -97.5927 3.00011 -179.996
3964.57 30.0001 0.00191675 2 90 2 90 0.000227482 61.9291 0.000101249 -97.5927 3.00011 -179.996
3974.58 30.0001 0.00191192 2 90 2 90 0.000226909 61.9291 0.000100994 -97.5927 3.00011 -179.996
3984.59 30.0001 0.00190712 2 90 2 90 0.000226339 61.9291 0.00010074 -97.5927 3.00011 -179.996
3994.59 30.0001 0.00190234 2 90 2 90 0.000225772 61.9291 0.000100488 -97.5927 3.00011 -179.996
4004.6 30.0001 0.00189759 2 90 2 90 0.000225208 61.9291 0.000100237 -97.5927 3.00011 -179.996
4014.61 30.0001 0.00189286 2 90 2 90 0.000224647 61.9291 9.99869e-05 -97.5928 3.00011 -179.996
4024.62 30.0001 0.00188815 2 90 2 90 0.000224088 61.9291 9.97382e-05 -97.5928 3.00011 -179.996
4034.63 30.0001 0.00188347 2 90 2 90 0.000223532 61.9291 9.94908e-05 -97.5928 3.00011 -179.996
4044.64 30.0001 0.0018788 2 90 2 90 0.000222979 61.9291 9.92446e-05 -97.5928 3.0001 -179.996
4054.65 30.0001 0.00187417 2 90 2 90 0.000222428 61.9291 9.89996e-05 -97.5928 3.0001 -179.996
4064.66 30.0001 0.00186955 2 90 2 90 0.000221881 61.9291 9.87558e-05 -97.5928 3.0001 -179.996
4074.67 30.0001 0.00186496 2 90 2 90 0.000221336 61.9291 9.85132e-05 -97.5928 3.0001 -179.996
4084.68 30.0001 0.00186039 2 90 2 90 0.000220793 61.9291 9.82718e-05 -97.5928 3.0001 -179.996
4094.68 30.0001 0.00185584 2 90 2 90 0.000220254 61.9291 9.80316e-05 -97.5928 3.0001 -179.996
4104.69 30.0001 0.00185132 2 90 2 90 0.000219717 61.9291 9.77926e-05 -97.5928 3.0001 -179.996
4114.7 30.0001 0.00184681 2 90 2 90 0.000219182 61.9291 9.75547e-05 -97.5928 3.0001 -179.996
4124.71 30.0001 0.00184233 2 90 2 90 0.00021865 61.929 9.7318e-05 -97.5928 3.0001 -179.996
4134.72 30.0001 0.00183787 2 90 2 90 0.000218121 61.929 9.70824e-05 -97.5928 3.0001 -179.996
4144.73 30.0001 0.00183343 2 90 2 90 0.000217594 61.929 9.68479e-05 -97.5928 3.0001 -179.996
4154.74 30.0001 0.00182902 2 90 2 90 0.00021707 61.929 9.66146e-05 -97.5928 3.0001 -179.996
4164.75 30.0001 0.00182462 2 90 2 90 0.000216548 61.929 9.63824e-05 -97.5928 3.0001 -179.996
4174.76 30.0001 0.00182025 2 90 2 90 0.000216029 61.929 9.61514e-05 -97.5928 3.0001 -179.996
4184.77 30.0001 0.00181589 2 90 2 90 0.000215512 61.929 9.59214e-05 -97.5928 3.0001 -179.996
4194.77 30.0001 0.00181156 2 90 2 90 0.000214998 61.929 9.56925e-05 -97.5928 3.0001 -179.996
4204.78 30.0001 0.00180725 2 90 2 90 0.000214486 61.929 9.54647e-05 -97.5928 3.0001 -179.996
4214.79 30.0001 0.00180296 2 90 2 90 0.000213977 61.929 9.5238e-05 -97.5928 3.0001 -179.996
4224.8 30.0001 0.00179869 2 90 2 90 0.00021347 61.929 9.50124e-05 -97.5928 3.0001 -179.996
4234.81 30.0001 0.00179443 2 90 2 90 0.000212966 61.929 9.47878e-05 -97.5928 3.0001 -179.996
4244.82 30.0001 0.0017902 2 90 2 90 0.000212463 61.929 9.45643e-05 -97.5929 3.0001 -179.996
4254.83 30.0001 0.00178599 2 90 2 90 0.000211964 61.929 9.43419e-05 -97.5929 3.0001 -179.996
4264.84 30.0001 0.0017818 2 90 2 90 0.000211466 61.929 9.41205e-05 -97.5929 3.0001 -179.996
4274.85 30.0001 0.00177763 2 90 2 90 0.000210971 61.929 9.39001e-05 -97.5929 3.0001 -179.996
4284.86 30.0001 0.00177348 2 90 2 90 0.000210478 61.929 9.36808e-05 -97.5929 3.0001 -179.996
4294.86 30.0001 0.00176934 2 90 2 90 0.000209988 61.929 9.34624e-05 -97.5929 3.0001 -179.996
4304.87 30.0001 0.00176523 2 90 2 90 0.0002095 61.929 9.32451e-05 -97.5929 3.0001 -179.996
4314.88 30.0001 0.00176113 2 90 2 90 0.000209014 61.929 9.30288e-05 -97.5929 3.0001 -179.996
4324.89 30.0001 0.00175706 2 90 2 90 0.00020853 61.929 9.28135e-05 -97.5929 3.0001 -179.996
4334.9 30.0001 0.001753 2 90 2 90 0.000208048 61.929 9.25992e-05 -97.5929 3.0001 -179.996
4344.91 30.0001 0.00174896 2 90 2 90 0.000207569 61.929 9.23859e-05 -97.5929 3.0001 -179.997
4354.92 30.0001 0.00174494 2 90 2 90 0.000207092 61.929 9.21736e-05 -97.5929 3.0001 -179.997
4364.93 30.0001 0.00174094 2 90 2 90 0.000206617 61.929 9.19622e-05 -97.5929 3.0001 -179.997
4374.94 30.0001 0.00173696 2 90 2 90 0.000206145 61.929 9.17518e-05 -97.5929 3.0001 -179.997
4384.95 30.0001 0.00173299 2 90 2 90 0.000205674 61.929 9.15424e-05 -97.5929 3.0001 -179.997
4394.95 30.0001 0.00172905 2 90 2 90 0.000205206 61.929 9.13339e-05 -97.5929 3.0001 -179.997
4404.96 30.0001 0.00172512 2 90 2 90 0.000204739 61.929 9.11264e-05 -97.5929 3.0001 -179.997
4414.97 30.0001 0.00172121 2 90 2 90 0.000204275 61.9289 9.09198e-05 -97.5929 3.0001 -179.997
4424.98 30.0001 0.00171732 2 90 2 90 0.000203813 61.9289 9.07142e-05 -97.5929 3.0001 -179.997
4434.99 30.0001 0.00171344 2 90 2 90 0.000203353 61.9289 9.05094e-05 -97.5929 3.0001 -179.997
4445 30.0001 0.00170958 2 90 2 90 0.000202895 61.9289 9.03056e-05 -97.5929 3.0001 -179.997
4455.01 30.0001 0.00170574 2 90 2 90 0.000202439 61.9289 9.01027e-05 -97.5929 3.0001 -179.997
4465.02 30.0001 0.00170192 2 90 2 90 0.000201986 61.9289 8.99008e-05 -97.5929 3.0001 -179.997
4475.03 30.0001 0.00169811 2 90 2 90 0.000201534 61.9289 8.96997e-05 -97.5929 3.00009 -179.997
4485.04 30.0001 0.00169432 2 90 2 90 0.000201084 61.9289 8.94995e-05 -97.5929 3.00009 -179.997
4495.05 30.0001 0.00169055 2 90 2 90 0.000200636 61.9289 8.93002e-05 -97.593 3.00009 -179.997
4505.05 30.0001 0.00168679 2 90 2 90 0.000200191 61.9289 8.91018e-05 -97.593 3.00009 -179.997
4515.06 30.0001 0.00168305 2 90 2 90 0.000199747 61.9289 8.89043e-05 -97.593 3.00009 -179.997
4525.07 30.0001 0.00167933 2 90 2 90 0.000199305 61.9289 8.87077e-05 -97.593 3.00009 -179.997
4535.08 30.0001 0.00167562 2 90 2 90 0.000198865 61.9289 8.85119e-05 -97.593 3.00009 -179.997
4545.09 30.0001 0.00167193 2 90 2 90 0.000198427 61.9289 8.8317e-05 -97.593 3.00009 -179.997
4555.1 30.0001 0.00166826 2 90 2 90 0.000197991 61.9289 8.81229e-05 -97.593 3.00009 -179.997
4565.11 30.0001 0.0016646 2 90 2 90 0.000197557 61.9289 8.79297e-05 -97.593 3.00009 -179.997
4575.12 30.0001 0.00166096 2 90 2 90 0.000197125 61.9289 8.77373e-05 -97.593 3.00009 -179.997
4585.13 30.0001 0.00165733 2 90 2 90 0.000196695 61.9289 8.75458e-05 -97.593 3.00009 -179.997
4595.14 30.0001 0.00165372 2 90 2 90 0.000196266 61.9289 8.73551e-05 -97.593 3.00009 -179.997
4605.14 30.0001 0.00165013 2 90 2 90 0.00019584 61.9289 8.71653e-05 -97.593 3.00009 -179.997
4615.15 30.0001 0.00164655 2 90 2 90 0.000195415 61.9289 8.69762e-05 -97.593 3.00009 -179.997
4625.16 30.0001 0.00164299 2 90 2 90 0.000194992 61.9289 8.6788e-05 -97.593 3.00009 -179.997
4635.17 30.0001 0.00163944 2 90 2 90 0.000194571 61.9289 8.66006e-05 -97.593 3.00009 -179.997
4645.18 30.0001 0.00163591 2 90 2 90 0.000194152 61.9289 8.6414e-05 -97.593 3.00009 -179.997
4655.19 30.0001 0.00163239 2 90 2 90 0.000193734 61.9289 8.62282e-05 -97.593 3.00009 -179.997
4665.2 30.0001 0.00162889 2 90 2 90 0.000193319 61.9289 8.60432e-05 -97.593 3.00009 -179.997
4675.21 30.0001 0.0016254 2 90 2 90 0.000192905 61.9289 8.5859e-05 -97.593 3.00009 -179.997
4685.22 30.0001 0.00162193 2 90 2 90 0.000192493 61.9289 8.56756e-05 -97.593 3.00009 -179.997
4695.23 30.0001 0.00161847 2 90 2 90 0.000192082 61.9289 8.54929e-05 -97.593 3.00009 -179.997
4705.23 30.0001 0.00161503 2 90 2 90 0.000191674 61.9289 8.53111e-05 -97.593 3.00009 -179.997
4715.24 30.0001 0.0016116 2 90 2 90 0.000191267 61.9289 8.513e-05 -97.593 3.00009 -179.997
4725.25 30.0001 0.00160819 2 90 2 90 0.000190862 61.9289 8.49497e-05 -97.593 3.00009 -179.997
4735.26 30.0001 0.00160479 2 90 2 90 0.000190458 61.9289 8.47701e-05 -97.593 3.00009 -179.997
4745.27 30.0001 0.0016014 2 90 2 90 0.000190057 61.9288 8.45913e-05 -97.593 3.00009 -179.997
4755.28 30.0001 0.00159803 2 90 2 90 0.000189657 61.9288 8.44132e-05 -97.593 3.00009 -179.997
4765.29 30.0001 0.00159468 2 90 2 90 0.000189258 61.9288 8.42359e-05 -97.593 3.00009 -179.997
4775.3 30.0001 0.00159133 2 90 2 90 0.000188862 61.9288 8.40594e-05 -97.5931 3.00009 -179.997
4785.31 30.0001 0.001588 2 90 2 90 0.000188467 61.9288 8.38836e-05 -97.5931 3.00009 -179.997
4795.32 30.0001 0.00158469 2 90 2 90 0.000188073 61.9288 8.37085e-05 -97.5931 3.00009 -179.997
4805.32 30.0001 0.00158139 2 90 2 90 0.000187681 61.9288 8.35341e-05 -97.5931 3.00009 -179.997
4815.33 30.0001 0.0015781 2 90 2 90 0.000187291 61.9288 8.33605e-05 -97.5931 3.00009 -179.997
4825.34 30.0001 0.00157483 2 90 2 90 0.000186903 61.9288 8.31876e-05 -97.5931 3.00009 -179.997
