f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
541.486 30.001 0.0140338 2 90 2 90 0.00166543 61.9392 0.000741309 -97.5806 3.00078 -179.972
551.495 30.001 0.0137791 2 90 2 90 0.00163521 61.939 0.000727855 -97.5809 3.00077 -179.972
561.505 30.0009 0.0135334 2 90 2 90 0.00160606 61.9388 0.00071488 -97.5811 3.00076 -179.973
571.514 30.0009 0.0132964 2 90 2 90 0.00157794 61.9386 0.000702361 -97.5813 3.00074 -179.973
581.523 30.0009 0.0130676 2 90 2 90 0.00155078 61.9384 0.000690272 -97.5816 3.00073 -179.974
591.532 30.0009 0.0128465 2 90 2 90 0.00152454 61.9382 0.000678592 -97.5818 3.00072 -179.974
601.541 30.0009 0.0126327 2 90 2 90 0.00149918 61.938 0.000667301 -97.582 3.00071 -179.975
611.55 30.0009 0.012426 2 90 2 90 0.00147464 61.9379 0.000656379 -97.5822 3.00069 -179.975
621.559 30.0009 0.0122259 2 90 2 90 0.0014509 61.9377 0.00064581 -97.5824 3.00068 -179.976
631.568 30.0008 0.0120321 2 90 2 90 0.00142791 61.9375 0.000635575 -97.5826 3.00067 -179.976
641.577 30.0008 0.0118444 2 90 2 90 0.00140563 61.9374 0.00062566 -97.5828 3.00066 -179.976
651.586 30.0008 0.0116625 2 90 2 90 0.00138404 61.9372 0.000616049 -97.583 3.00065 -179.977
661.595 30.0008 0.011486 2 90 2 90 0.0013631 61.9371 0.000606729 -97.5832 3.00064 -179.977
671.604 30.0008 0.0113148 2 90 2 90 0.00134279 61.9369 0.000597687 -97.5833 3.00063 -179.977
681.613 30.0008 0.0111487 2 90 2 90 0.00132307 61.9368 0.00058891 -97.5835 3.00062 -179.978
691.622 30.0008 0.0109873 2 90 2 90 0.00130393 61.9367 0.000580388 -97.5837 3.00061 -179.978
701.631 30.0008 0.0108306 2 90 2 90 0.00128533 61.9365 0.000572108 -97.5838 3.0006 -179.978
711.64 30.0007 0.0106783 2 90 2 90 0.00126725 61.9364 0.000564062 -97.584 3.0006 -179.979
721.649 30.0007 0.0105302 2 90 2 90 0.00124968 61.9363 0.000556238 -97.5841 3.00059 -179.979
731.658 30.0007 0.0103861 2 90 2 90 0.00123258 61.9362 0.000548629 -97.5843 3.00058 -179.979
741.667 30.0007 0.010246 2 90 2 90 0.00121595 61.9361 0.000541225 -97.5844 3.00057 -179.98
751.676 30.0007 0.0101095 2 90 2 90 0.00119976 61.9359 0.000534018 -97.5845 3.00056 -179.98
761.685 30.0007 0.00997669 2 90 2 90 0.00118399 61.9358 0.000527001 -97.5847 3.00056 -179.98
771.694 30.0007 0.00984729 2 90 2 90 0.00116864 61.9357 0.000520166 -97.5848 3.00055 -179.98
781.703 30.0007 0.0097212 2 90 2 90 0.00115367 61.9356 0.000513505 -97.5849 3.00054 -179.981
791.712 30.0007 0.0095983 2 90 2 90 0.00113909 61.9355 0.000507014 -97.585 3.00054 -179.981
801.721 30.0007 0.00947847 2 90 2 90 0.00112487 61.9354 0.000500684 -97.5852 3.00053 -179.981
811.73 30.0007 0.0093616 2 90 2 90 0.001111 61.9353 0.00049451 -97.5853 3.00052 -179.981
821.739 30.0006 0.00924757 2 90 2 90 0.00109747 61.9352 0.000488487 -97.5854 3.00052 -179.982
831.748 30.0006 0.00913629 2 90 2 90 0.00108426 61.9351 0.000482609 -97.5855 3.00051 -179.982
841.757 30.0006 0.00902765 2 90 2 90 0.00107137 61.935 0.00047687 -97.5856 3.0005 -179.982
851.766 30.0006 0.00892157 2 90 2 90 0.00105878 61.935 0.000471266 -97.5857 3.0005 -179.982
861.775 30.0006 0.00881795 2 90 2 90 0.00104649 61.9349 0.000465793 -97.5858 3.00049 -179.982
871.784 30.0006 0.00871671 2 90 2 90 0.00103447 61.9348 0.000460445 -97.5859 3.00049 -179.983
881.793 30.0006 0.00861777 2 90 2 90 0.00102273 61.9347 0.000455219 -97.586 3.00048 -179.983
891.802 30.0006 0.00852105 2 90 2 90 0.00101125 61.9346 0.00045011 -97.5861 3.00048 -179.983
901.811 30.0006 0.00842648 2 90 2 90 0.00100003 61.9345 0.000445114 -97.5862 3.00047 -179.983
