f 1m 1f 2m 2f 3m 3f jL0301m jL0301f jV0200m jV0200f 
611.55 1 90.0149 1 90 6.77294e-08 -89.9851 0.000260249 -179.985 0.000260249 -179.985
621.559 1 90.0147 1 90 6.55656e-08 -89.9853 0.000256058 -179.985 0.000256058 -179.985
631.568 1 90.0144 1 90 6.35039e-08 -89.9856 0.000252 -179.986 0.000252 -179.986
641.577 1 90.0142 1 90 6.1538e-08 -89.9858 0.000248069 -179.986 0.000248069 -179.986
651.586 1 90.014 1 90 5.96619e-08 -89.986 0.000244258 -179.986 0.000244258 -179.986
661.595 1 90.0138 1 90 5.78704e-08 -89.9862 0.000240563 -179.986 0.000240563 -179.986
671.604 1 90.0136 1 90 5.61583e-08 -89.9864 0.000236978 -179.986 0.000236978 -179.986
681.613 1 90.0134 1 90 5.45212e-08 -89.9866 0.000233498 -179.987 0.000233498 -179.987
691.622 1 90.0132 1 90 5.29545e-08 -89.9868 0.000230119 -179.987 0.000230119 -179.987
701.631 1 90.013 1 90 5.14545e-08 -89.987 0.000226836 -179.987 0.000226836 -179.987
711.64 1 90.0128 1 90 5.00173e-08 -89.9872 0.000223645 -179.987 0.000223645 -179.987
721.649 1 90.0126 1 90 4.86395e-08 -89.9874 0.000220544 -179.987 0.000220544 -179.987
731.658 1 90.0125 1 90 4.73178e-08 -89.9875 0.000217527 -179.988 0.000217527 -179.988
741.667 1 90.0123 1 90 4.60493e-08 -89.9877 0.000214591 -179.988 0.000214591 -179.988
751.676 1 90.0121 1 90 4.48311e-08 -89.9879 0.000211734 -179.988 0.000211734 -179.988
761.685 1 90.012 1 90 4.36606e-08 -89.988 0.000208951 -179.988 0.000208951 -179.988
771.694 1 90.0118 1 90 4.25354e-08 -89.9882 0.000206241 -179.988 0.000206241 -179.988
781.703 1 90.0117 1 90 4.14531e-08 -89.9883 0.0002036 -179.988 0.0002036 -179.988
791.712 1 90.0115 1 90 4.04116e-08 -89.9885 0.000201026 -179.988 0.000201026 -179.988
801.721 1 90.0114 1 90 3.94089e-08 -89.9886 0.000198517 -179.989 0.000198517 -179.989
811.73 1 90.0112 1 90 3.8443e-08 -89.9888 0.000196069 -179.989 0.000196069 -179.989
821.739 1 90.0111 1 90 3.75122e-08 -89.9889 0.000193681 -179.989 0.000193681 -179.989
831.748 1 90.011 1 90 3.66148e-08 -89.989 0.00019135 -179.989 0.00019135 -179.989
841.757 1 90.0108 1 90 3.57493e-08 -89.9892 0.000189075 -179.989 0.000189075 -179.989
851.766 1 90.0107 1 90 3.4914e-08 -89.9893 0.000186853 -179.989 0.000186853 -179.989
861.775 1 90.0106 1 90 3.41077e-08 -89.9894 0.000184683 -179.989 0.000184683 -179.989
871.784 1 90.0105 1 90 3.3329e-08 -89.9895 0.000182562 -179.99 0.000182562 -179.99
881.793 1 90.0103 1 90 3.25767e-08 -89.9897 0.00018049 -179.99 0.00018049 -179.99
891.802 1 90.0102 1 90 3.18496e-08 -89.9898 0.000178464 -179.99 0.000178464 -179.99
901.811 1 90.0101 1 90 3.11465e-08 -89.9899 0.000176484 -179.99 0.000176484 -179.99
911.82 1 90.01 1 90 3.04665e-08 -89.99 0.000174546 -179.99 0.000174546 -179.99
