f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1.35305 1.18076e-07 90 1 0 0.0034379 -179.998 1.00002 -4.61207e-08 1 0 0.00156699 1.2335e-05 0.891346 -2.21375e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00194653 0.00171163 -179.998 0 0 0 0 0 0 3.03109e-15 90 5.1801e-18 -89.9981 2.9477e-14 -90 5.82052e-18 -89.9981 3.21403e-07 180 
1.38489 1.20854e-07 90 1 0 0.0034379 -179.998 1.00002 -4.72059e-08 1 0 0.00156699 1.26252e-05 0.891346 -2.26584e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00199233 0.00171163 -179.998 0 0 0 0 0 0 3.10242e-15 90 5.30199e-18 -89.998 3.01706e-14 -90 5.95748e-18 -89.998 3.21403e-07 180 
1.41747 1.23698e-07 90 1 0 0.0034379 -179.998 1.00002 -4.83167e-08 1 0 0.00156699 1.29223e-05 0.891346 -2.31916e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00203921 0.00171163 -179.998 0 0 0 0 0 0 3.17542e-15 90 5.42675e-18 -89.998 3.08805e-14 -90 6.09767e-18 -89.998 3.21403e-07 180 
1.45083 1.26609e-07 90 1 0 0.0034379 -179.998 1.00002 -4.94537e-08 1 0 0.00156699 1.32264e-05 0.891346 -2.37373e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.0020872 0.00171163 -179.998 0 0 0 0 0 0 3.25014e-15 90 5.55445e-18 -89.9979 3.16072e-14 -90 6.24115e-18 -89.9979 3.21403e-07 180 
1.48497 1.29588e-07 90 1 0 0.0034379 -179.998 1.00002 -5.06174e-08 1 0 0.00156699 1.35376e-05 0.891346 -2.42959e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00213631 0.00171163 -179.998 0 0 0 0 0 0 3.32662e-15 90 5.68515e-18 -89.9979 3.23509e-14 -90 6.38801e-18 -89.9979 3.21403e-07 180 
1.51991 1.32637e-07 90 1 0 0.0034379 -179.998 1.00002 -5.18084e-08 1 0 0.00156699 1.38562e-05 0.891346 -2.48676e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00218658 0.00171163 -179.998 0 0 0 0 0 0 3.4049e-15 90 5.81893e-18 -89.9978 3.31122e-14 -90 6.53833e-18 -89.9978 3.21403e-07 180 
1.55568 1.35758e-07 90 1 0 0.0034379 -179.998 1.00002 -5.30275e-08 1 0 0.00156699 1.41822e-05 0.891346 -2.54528e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00223803 0.00171163 -179.998 0 0 0 0 0 0 3.48502e-15 90 5.95585e-18 -89.9978 3.38914e-14 -90 6.69218e-18 -89.9978 3.21403e-07 180 
1.59228 1.38953e-07 90 1 0 0.0034379 -179.998 1.00002 -5.42753e-08 1 0 0.00156699 1.45159e-05 0.891346 -2.60517e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.0022907 0.00171163 -179.998 0 0 0 0 0 0 3.56703e-15 90 6.096e-18 -89.9977 3.46889e-14 -90 6.84966e-18 -89.9977 3.21403e-07 180 
1.62975 1.42223e-07 90 1 0 0.0034379 -179.998 1.00002 -5.55525e-08 1 0 0.00156699 1.48575e-05 0.891346 -2.66647e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.0023446 0.00171163 -179.998 0 0 0 0 0 0 3.65096e-15 90 6.23945e-18 -89.9977 3.55051e-14 -90 7.01084e-18 -89.9977 3.21403e-07 180 
1.6681 1.45569e-07 90 1 0 0.0034379 -179.998 1.00002 -5.68597e-08 1 0 0.00156699 1.52071e-05 0.891346 -2.72922e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00239977 0.00171163 -179.998 0 0 0 0 0 0 3.73687e-15 90 6.38627e-18 -89.9976 3.63406e-14 -90 7.17581e-18 -89.9976 3.21403e-07 180 
