f 1m 1f 2m 2f jV0200m jV0200f 
1922.73 0 0 0 0 0 0
1932.74 0 0 0 0 0 0
1942.75 0 0 0 0 0 0
1952.76 0 0 0 0 0 0
1962.77 0 0 0 0 0 0
1972.77 0 0 0 0 0 0
1982.78 0 0 0 0 0 0
1992.79 0 0 0 0 0 0
2002.8 0 0 0 0 0 0
2012.81 0 0 0 0 0 0
2022.82 0 0 0 0 0 0
2032.83 0 0 0 0 0 0
2042.84 0 0 0 0 0 0
2052.85 0 0 0 0 0 0
2062.86 0 0 0 0 0 0
2072.86 0 0 0 0 0 0
2082.87 0 0 0 0 0 0
2092.88 0 0 0 0 0 0
2102.89 0 0 0 0 0 0
2112.9 0 0 0 0 0 0
2122.91 0 0 0 0 0 0
2132.92 0 0 0 0 0 0
2142.93 0 0 0 0 0 0
2152.94 0 0 0 0 0 0
2162.95 0 0 0 0 0 0
2172.95 0 0 0 0 0 0
2182.96 0 0 0 0 0 0
2192.97 0 0 0 0 0 0
2202.98 0 0 0 0 0 0
2212.99 0 0 0 0 0 0
2223 0 0 0 0 0 0
2233.01 0 0 0 0 0 0
2243.02 0 0 0 0 0 0
2253.03 0 0 0 0 0 0
2263.04 0 0 0 0 0 0
2273.05 0 0 0 0 0 0
2283.05 0 0 0 0 0 0
2293.06 0 0 0 0 0 0
2303.07 0 0 0 0 0 0
2313.08 0 0 0 0 0 0
2323.09 0 0 0 0 0 0
2333.1 0 0 0 0 0 0
2343.11 0 0 0 0 0 0
2353.12 0 0 0 0 0 0
2363.13 0 0 0 0 0 0
2373.14 0 0 0 0 0 0
2383.14 0 0 0 0 0 0
2393.15 0 0 0 0 0 0
2403.16 0 0 0 0 0 0
2413.17 0 0 0 0 0 0
2423.18 0 0 0 0 0 0
2433.19 0 0 0 0 0 0
2443.2 0 0 0 0 0 0
2453.21 0 0 0 0 0 0
2463.22 0 0 0 0 0 0
2473.23 0 0 0 0 0 0
2483.23 0 0 0 0 0 0
2493.24 0 0 0 0 0 0
2503.25 0 0 0 0 0 0
2513.26 0 0 0 0 0 0
2523.27 0 0 0 0 0 0
2533.28 0 0 0 0 0 0
2543.29 0 0 0 0 0 0
2553.3 0 0 0 0 0 0
2563.31 0 0 0 0 0 0
2573.32 0 0 0 0 0 0
2583.32 0 0 0 0 0 0
2593.33 0 0 0 0 0 0
2603.34 0 0 0 0 0 0
2613.35 0 0 0 0 0 0
2623.36 0 0 0 0 0 0
2633.37 0 0 0 0 0 0
2643.38 0 0 0 0 0 0
2653.39 0 0 0 0 0 0
2663.4 0 0 0 0 0 0
2673.41 0 0 0 0 0 0
2683.41 0 0 0 0 0 0
2693.42 0 0 0 0 0 0
2703.43 0 0 0 0 0 0
2713.44 0 0 0 0 0 0
2723.45 0 0 0 0 0 0
2733.46 0 0 0 0 0 0
2743.47 0 0 0 0 0 0
2753.48 0 0 0 0 0 0
2763.49 0 0 0 0 0 0
2773.5 0 0 0 0 0 0
2783.5 0 0 0 0 0 0
2793.51 0 0 0 0 0 0
2803.52 0 0 0 0 0 0
2813.53 0 0 0 0 0 0
2823.54 0 0 0 0 0 0
2833.55 0 0 0 0 0 0
2843.56 0 0 0 0 0 0
2853.57 0 0 0 0 0 0
2863.58 0 0 0 0 0 0
2873.59 0 0 0 0 0 0
2883.59 0 0 0 0 0 0
2893.6 0 0 0 0 0 0
2903.61 0 0 0 0 0 0
