f 1m 1f 2m 2f 3m 3f jV0300m jV0300f 
1.88126e+07 1249.97 -0.196398 1.80995 90.0035 0 00.999992 -0.103279 
2.03187e+07 1249.97 -0.212121 1.95484 89.9466 0 00.999991 -0.111547 
2.19454e+07 1249.97 -0.229104 2.11134 89.8894 0 00.999989 -0.120477 
2.37024e+07 1249.97 -0.247445 2.28036 89.8315 0 00.999987 -0.130122 
2.56e+07 1249.96 -0.267255 2.46291 89.7726 0 00.999985 -0.140539 
2.76495e+07 1249.96 -0.288651 2.66008 89.7124 0 00.999983 -0.15179 
2.98631e+07 1249.96 -0.311759 2.87303 89.6505 0 00.99998 -0.163941 
3.2254e+07 1249.95 -0.336717 3.10302 89.5865 0 00.999977 -0.177065 
3.48362e+07 1249.95 -0.363673 3.35142 89.52 0 00.999973 -0.191239 
3.76252e+07 1249.94 -0.392787 3.61971 89.4507 0 00.999968 -0.206548 
4.06375e+07 1249.94 -0.424231 3.90947 89.3781 0 00.999963 -0.223081 
4.38909e+07 1249.93 -0.458192 4.22241 89.3019 0 00.999957 -0.240938 
4.74048e+07 1249.92 -0.494872 4.5604 89.2214 0 00.99995 -0.260223 
5.12e+07 1249.91 -0.534487 4.92544 89.1364 0 00.999941 -0.281051 
5.52991e+07 1249.9 -0.577272 5.31969 89.0463 0 00.999931 -0.303546 
5.97263e+07 1249.88 -0.623481 5.74548 88.9505 0 00.99992 -0.327839 
6.4508e+07 1249.87 -0.673388 6.20533 88.8484 0 00.999907 -0.354076 
6.96724e+07 1249.85 -0.727288 6.70196 88.7396 0 00.999891 -0.38241 
7.52504e+07 1249.82 -0.7855 7.23831 88.6233 0 00.999873 -0.413009 
8.12749e+07 1249.8 -0.84837 7.81755 88.4988 0 00.999852 -0.446054 
8.77818e+07 1249.77 -0.916268 8.44309 88.3654 0 00.999827 -0.481739 
9.48096e+07 1249.73 -0.989596 9.11863 88.2223 0 00.999799 -0.520274 
1.024e+08 1249.69 -1.06879 9.84815 88.0686 0 00.999765 -0.561885 
1.10598e+08 1249.64 -1.15431 10.6359 87.9036 0 00.999726 -0.606818 
1.19453e+08 1249.58 -1.24667 11.4866 87.7261 0 00.99968 -0.655334 
1.29016e+08 1249.51 -1.3464 12.4052 87.5351 0 00.999627 -0.707717 
1.39345e+08 1249.44 -1.45411 13.3971 87.3296 0 00.999565 -0.764272 
1.50501e+08 1249.35 -1.57041 14.468 87.1082 0 00.999493 -0.825329 
1.6255e+08 1249.24 -1.696 15.6242 86.8697 0 00.999408 -0.891239 
1.75564e+08 1249.12 -1.8316 16.8725 86.6127 0 00.99931 -0.962384 
1.89619e+08 1248.97 -1.97801 18.22 86.3357 0 00.999195 -1.03917 
2.048e+08 1248.8 -2.13609 19.6746 86.037 0 00.999062 -1.12204 
2.21196e+08 1248.61 -2.30675 21.2445 85.715 0 00.998906 -1.21145 
2.38905e+08 1248.38 -2.49098 22.9388 85.3677 0 00.998724 -1.30792 
2.58032e+08 1248.11 -2.68984 24.767 84.993 0 00.998513 -1.41197 
2.7869e+08 1247.8 -2.90448 26.7395 84.589 0 00.998266 -1.52418 
3.01002e+08 1247.44 -3.13611 28.8672 84.1531 0 00.997979 -1.64516 
3.251e+08 1247.02 -3.38607 31.1619 83.6829 0 00.997644 -1.77556 
3.51127e+08 1246.53 -3.65574 33.636 83.1757 0 00.997254 -1.91606 
3.79238e+08 1245.96 -3.94663 36.303 82.6287 0 00.9968 -2.06738 
4.096e+08 1245.3 -4.26036 39.1767 82.0387 0 00.996272 -2.23028 
4.42392e+08 1244.52 -4.59863 42.2721 81.4024 0 00.995658 -2.40555 
4.7781e+08 1243.62 -4.96326 45.6048 80.7164 0 00.994944 -2.59401 
5.16064e+08 1242.58 -5.35617 49.1911 79.9768 0 00.994114 -2.7965 
